"","p(Int)","lam(Int)","p(camdays)","lam(ndvi)","lam(npp)","lam(rad)","lam(water)","lam(ndvi:rad)","lam(ndvi:water)","df","logLik","AICc","delta","weight"
"1",1.83798920662475,2.5574963879263,3.09608252576046,NA,NA,NA,NA,NA,NA,4,-195.837035358877,400.271085643126,0,0.38593028274499
"11",1.75329943949916,2.49925010114261,3.049576491109,NA,0.118909357040544,NA,-0.524584353502392,NA,NA,6,-194.380613405298,402.053534502904,1.78244885977762,0.158290556376921
"42",1.58478154689887,2.58229057310016,2.88780646045812,0.236037023010444,NA,NA,-0.478185894428747,NA,-0.166929850710398,7,-193.587373615629,402.924747231258,2.65366158813231,0.102393777528478
"15",1.65392382689461,2.49800027981758,2.97480241810056,NA,0.121255257202649,-0.275481571423757,-0.595892612368425,NA,NA,7,-193.819403672732,403.388807345464,3.11772170233752,0.0811903085598235
"46",1.53872313441978,2.56423600140714,2.81739645765232,0.223279635277044,NA,-0.270267772647908,-0.529115050090027,NA,-0.163995469594404,8,-193.083558991041,404.452832267796,4.18174662467004,0.0476929422707805
"7",1.748586616392,2.56435708375541,3.02761184953795,NA,-0.051108887885207,-0.166154134567115,NA,NA,NA,6,-195.599462258404,404.491232209116,4.22014656598969,0.046785973923144
"44",1.57117741751347,2.53926174627859,2.8902383889666,0.291949896489859,0.143242045002295,NA,-0.651107653323469,NA,-0.088354630679511,8,-193.318554141304,404.922822568322,4.65173692519562,0.0377048327503921
"22",31.2527565178891,2.22871298759503,20.4730574203939,0.031278980372897,NA,-0.0989128360387735,NA,0.615048140350734,NA,7,-194.768989825611,405.287979651222,5.01689400809533,0.0314126203598749
"30",20.6450670592522,2.19325345519024,10.2861779678577,0.115689642700464,NA,-0.157182548947926,-0.381373615910686,0.589069415223173,NA,8,-193.955228178161,406.196170642035,5.92508499890914,0.0199477077911355
"48",1.52612461469906,2.51764680776921,2.82411826210399,0.28534723027771,0.147894484318394,-0.279455546868445,-0.718260665989485,NA,-0.0784814663124803,9,-192.776293399206,406.455812604863,6.18472696173671,0.0175191270373818
"9",29.6698416883257,2.15610140909358,23.9299825164102,NA,NA,NA,-0.386935255551474,NA,NA,5,-198.112665087631,407.134421084352,6.86333544122579,0.0124782735731699
"24",30.4270200749603,2.22884000977007,15.5372763493335,0.0315616545590841,-0.0162497790423863,-0.100660361205787,NA,0.615955432340908,NA,8,-194.762992060802,407.811698407318,7.54061276419202,0.00889376399476885
"32",24.227082003015,2.1767780065391,12.0978569021348,0.153344773911555,0.12540765773033,-0.168511692818905,-0.524397175756102,0.567125034648658,NA,9,-193.686436841394,408.27609948924,8.00501384611403,0.00705086155291421
"5",28.0085694491402,2.19146639733985,21.8748723228531,NA,NA,-0.112623023518569,NA,NA,NA,5,-198.839095429465,408.587281768021,8.3161961248951,0.0060348963286714
"62",33.1514783342868,2.2091219478,21.0500421389372,0.106349936094567,NA,-0.166070953736954,-0.354678389129514,0.561351929164965,-0.0586877551890553,9,-193.924801439848,408.752828686147,8.48174304302063,0.00555548216103768
"2",28.339531589398,2.1957502632003,22.223392509874,0.0440675735753235,NA,NA,NA,NA,NA,5,-198.925522578876,408.760136066843,8.48905042371695,0.00553522118569097
"3",28.9504369919819,2.19329868825362,22.8763257929585,NA,-0.00620641922559978,NA,NA,NA,NA,5,-198.942922330834,408.794935570759,8.52384992763268,0.00543974276924933
"13",29.2129191096326,2.14833178588418,23.2270334464036,NA,NA,-0.184804281452079,-0.424716988840191,NA,NA,6,-197.866518708566,409.025345109441,8.75425946631441,0.00484780975162093
"10",26.0942380323262,2.16147382665162,20.880155666498,0.139885641798563,NA,NA,-0.434697766651406,NA,NA,6,-197.940934985082,409.174177662471,8.9030920193448,0.00450014999673871
"12",27.9310816386651,2.14245693668158,22.0471570305933,0.207284684458029,0.170406780798646,NA,-0.637697730259877,NA,NA,7,-197.498756207036,410.747512414073,10.4764267709466,0.00204918745882279
"6",29.9605154233126,2.19491992421145,22.8077458505594,0.0763599715367474,NA,-0.131401778346045,NA,NA,NA,6,-198.801070730678,410.894449153663,10.6233635105365,0.00190403436153971
"14",28.6831300705702,2.15241793391521,22.0754138045085,0.19773923789089,NA,-0.23684936114207,-0.494051576834391,NA,NA,7,-197.585610122256,410.921220244513,10.6501346013867,0.00187871764016895
"64",33.9631603645587,2.1686055392444,20.9315104267189,0.159660262653856,0.133670638409302,-0.16526657757496,-0.547310837576606,0.578730001386821,0.0267801804000871,10,-193.681202078928,410.968961534905,10.6978758917789,0.0018344024581907
"4",30.3346910670356,2.18994933313422,20.4083963691119,0.0564729211339703,-0.00392453784959711,NA,NA,NA,NA,6,-198.947423870093,411.187155432493,10.9160697893669,0.00164480501260074
"16",29.7381221858179,2.13222703087835,22.2248099043242,0.273726908154077,0.18359900128097,-0.271625462647214,-0.731972746004627,NA,NA,8,-197.025672594951,412.337059475616,12.0659738324897,0.000925584195847748
"8",29.6341634531874,2.19473762656048,22.5126039104327,0.0770624348187593,-0.0125299000483611,-0.133427356873819,NA,NA,NA,7,-198.797915897857,413.345831795714,13.0747461525882,0.000558938216046007
