"","p(Int)","lam(Int)","p(camdays)","lam(ndvi)","lam(npp)","lam(rad)","lam(water)","lam(ndvi:rad)","lam(ndvi:water)","df","logLik","AICc","delta","weight"
"9",0.873079544098197,3.06878574553631,3.35338502990932,NA,NA,NA,-0.497589862200164,NA,NA,5,-204.060523915699,419.030138740488,0,0.235692365254419
"4",1.10562920164073,2.88255205510102,3.31955529419212,-0.397771525684377,-0.41294638423298,NA,NA,NA,NA,6,-203.22497066125,419.742249014807,0.712110274318547,0.165086945983027
"11",0.89323748942983,3.01794567323353,3.33641471619182,NA,-0.318087688458203,NA,-0.407190445588598,NA,NA,6,-203.358252511081,420.00881271447,0.978673973981643,0.144487128958509
"1",1.03354662102586,3.07135934771208,3.26758309712221,NA,NA,NA,NA,NA,NA,4,-205.921676828745,420.440368582862,1.41022984237367,0.11644423588017
"13",0.894371871572861,3.05690042732712,3.35068853056428,NA,NA,-0.141207399603454,-0.535554935021739,NA,NA,6,-203.872765541966,421.037838776239,2.00770003575082,0.0863731963068312
"12",0.9945971194671,2.93375786002284,3.34723994808773,-0.27141731217108,-0.342480463152155,NA,-0.249269259450496,NA,NA,7,-202.893413334409,421.536826668818,2.50668792832971,0.067301562509387
"5",1.04465897937553,3.06639379317506,3.2626441127464,NA,NA,-0.035238826698341,NA,NA,NA,5,-205.90990223844,422.728895385971,3.69875664548221,0.0370826459076076
"42",0.923685865205488,2.95817762708954,3.37933153623386,-0.247909649569067,NA,NA,-0.434948568363919,NA,0.0988121106677831,7,-203.548797952452,422.847595904903,3.81745716441469,0.0349458190675671
"16",1.01923218930588,2.9093226701938,3.35254528353387,-0.325036836740193,-0.352688939128819,-0.212067915511833,-0.272372442801209,NA,NA,8,-202.440658921297,423.167032128308,4.13689338781916,0.0297872581649119
"22",1.27390154583607,2.91708108742583,3.29785791251781,-0.500790520914445,NA,-0.0892204366689284,NA,0.187040201922407,NA,7,-203.79760118484,423.34520236968,4.31506362919197,0.0272484217780064
"24",1.27509939013725,2.85191297813734,3.27943832863515,-0.466339884656037,-0.428914313245279,-0.121881495022692,NA,0.189439758802295,NA,8,-202.530570350789,423.346854987292,4.31671624680371,0.0272259154670073
"30",1.04517962843706,2.97395109329293,3.36013510031179,-0.324162280386989,NA,-0.160451283333664,-0.342060063985801,0.0769663707321473,NA,8,-203.239250319387,424.764214924488,5.73407618399989,0.0134031442589847
"32",1.12577234072006,2.89884671504112,3.32496242234283,-0.362441827494474,-0.370365793543031,-0.161184084619962,-0.211676852600811,0.120975133340607,NA,9,-202.330788369128,425.564802544708,6.53466380421924,0.00898175695799777
"62",1.02312985767737,2.91553823663673,3.39119624498844,-0.336058323457556,NA,-0.152894545776764,-0.484386130262489,0.160772463461971,0.189202908017699,9,-202.921086004893,426.745397816238,7.71525907574949,0.00497735128842683
"2",38.7286755259804,2.44441518694439,31.8586998937518,-0.553910718544278,NA,NA,NA,NA,NA,5,-210.821486259852,432.552063428795,13.5219246883065,0.000272958659264766
"3",42.005234639503,2.5064526652514,33.2301666685142,NA,-0.415716845259889,NA,NA,NA,NA,5,-211.202264738417,433.313620385925,14.2834816454361,0.000186520634532523
"6",40.4880042026833,2.43650020336795,33.0483936029686,-0.546448538691486,NA,-0.139887041891508,NA,NA,NA,6,-210.639786576201,434.571880844709,15.5417421042204,9.94258007127935e-05
"8",44.1918632523656,2.36700028270373,35.9226128667889,-0.516872237629497,-0.409450930457502,-0.170560605537926,NA,NA,NA,7,-209.503611566384,434.757223132767,15.7270843922788,9.06259413532698e-05
"10",41.64503040502,2.44460278537087,34.1043545739562,-0.533040653910187,NA,NA,-0.0331737618098852,NA,NA,6,-210.832252302276,434.95681229686,15.9266735563714,8.20185891415849e-05
"7",41.7563592408402,2.49496983976628,32.5434194018537,NA,-0.425980164994598,-0.175793870980776,NA,NA,NA,6,-210.913139369833,435.118586431974,16.0884476914852,7.56455678439826e-05
"15",11.2815542627123,2.5827262511174,10.6193168881818,NA,-0.383792919506536,-0.235509668860828,-0.372827934911603,NA,NA,7,-209.885084417606,435.520168835212,16.4900300947232,6.18843703389925e-05
"14",35.927871388902,2.44716508687259,29.4743096546185,-0.468897790540095,NA,-0.17758372016344,-0.149454696799345,NA,NA,7,-210.552373749672,436.854747499344,17.8246087588556,3.17527176572297e-05
"44",42.4280860640239,2.47463691436647,33.8766142164436,-0.558982309953198,-0.52912053033306,NA,0.434093963807795,NA,-0.271887767764791,8,-209.358554629978,437.00282354567,17.9726848051813,2.94867288907937e-05
"64",44.9678211564812,2.43597785531663,35.2389709594072,-0.685493285134013,-0.52020271077266,0.0218367193960085,0.418382079541138,0.456650813222041,-0.0546264481479505,10,-207.571241462792,438.749040302633,19.7189015621449,1.23151709821759e-05
"48",40.4897892379158,2.4694487284046,32.0295666017113,-0.510763584846577,-0.514858355748656,-0.159139120296125,0.337183484706569,NA,-0.265216004205417,9,-209.121680642508,439.146587091467,20.1164483509783,1.00951844308008e-05
"46",39.4927697703509,2.49539505992979,31.7160296145815,-0.449229037047184,NA,-0.170593892644777,-0.0121619145068292,NA,-0.119094783131721,8,-210.488800540451,439.263315366616,20.2331766261274,9.52285199783741e-06
