"","p(Int)","lam(Int)","p(camdays)","lam(ndvi)","lam(npp)","lam(rad)","lam(water)","lam(ndvi:rad)","lam(ndvi:water)","df","logLik","AICc","delta","weight"
"3",32.0747827111881,0.670830533831564,29.0721762016216,NA,-7.3446961618828,NA,NA,NA,NA,5,-114.36059551885,239.630281946791,0,0.202839946624655
"7",34.5430841355821,0.254892988048394,30.827505977012,NA,-8.81198793763357,-0.707914188188629,NA,NA,NA,6,-113.281684437122,239.855676566551,0.22539461975984,0.181221477875571
"15",32.0801100750118,-0.056626626780179,29.3170001439182,NA,-9.54544004679424,-0.85711590043753,-0.750150935573886,NA,NA,7,-112.710944862965,241.17188972593,1.54160777913887,0.0938420770655346
"9",0.754932690673241,2.92178402420921,4.34324040618918,NA,NA,NA,-1.37267375758151,NA,NA,5,-115.267754209562,241.444599328215,1.8143173814239,0.081880309202522
"11",34.5353677721242,0.511785131404411,31.5127159857174,NA,-7.71590142457778,NA,-0.491536849152205,NA,NA,6,-114.092591442262,241.477490576832,1.84720863004051,0.0805447485643921
"4",40.3707936875853,0.595458154746536,36.2609489500739,-0.506839171221271,-7.0660910333646,NA,NA,NA,NA,6,-114.134730971818,241.561769635943,1.93148768915168,0.0772211499977389
"8",35.6126706558255,0.252855522840524,31.8886481718092,-0.198272695144852,-8.62340766087001,-0.671361121897317,NA,NA,NA,7,-113.238458480439,242.226916960877,2.5966350140859,0.0553734214129548
"1",1.1080704469221,3.1121808097326,4.23107940349454,NA,NA,NA,NA,NA,NA,4,-117.015462518102,242.627939961578,2.99765801478634,0.0453127396031007
"24",39.5707812486656,0.404719102844129,34.6535986925052,-0.525702343655176,-7.79487423180208,-0.393764494711903,NA,0.664568819516431,NA,8,-112.203790668476,242.693295622666,3.06301367587508,0.0438559495782893
"16",31.5282331580003,-0.0568843583775113,28.8459987077042,0.0240070132436207,-9.56299491240091,-0.86086749019161,-0.76066447645373,NA,NA,8,-112.710604274506,243.706922834727,4.07664088793564,0.0264193523143644
"12",37.4262840002608,0.518050404728857,33.9272076846818,-0.329681094266114,-7.37109452202611,NA,-0.34493861913407,NA,NA,7,-114.019511263623,243.789022527245,4.15874058045387,0.0253567999725571
"5",1.15561532399944,3.09348790272975,4.26179565385374,NA,NA,-0.186879666532271,NA,NA,NA,5,-116.919295129293,244.747681167677,5.11739922088574,0.0157008934337556
"32",35.1871495740562,0.246912300762072,31.2601875744962,-0.350676508255923,-8.40137554896176,-0.498295838021417,-0.329856169256923,0.573411380403391,NA,9,-112.097698255092,245.098622316635,5.46834036984376,0.0131740244067846
"14",0.840597338489187,2.83342331617561,4.39066990838891,-0.27295157854353,NA,-0.318716098494432,-1.31298808029278,NA,NA,7,-114.958694579779,245.667389159558,6.03710721276721,0.00991316450117909
"48",28.5540088789657,0.136803374166326,25.9662865782761,-0.0519955549242116,-9.25211113054526,-0.842256185538043,-0.468915957879729,NA,-0.378795538897251,9,-112.462937323622,245.829100453696,6.19881850690498,0.00914317751445676
"44",34.5400406385033,0.695641624600091,31.2220299911784,-0.32671348994409,-7.19745678053238,NA,-0.0680076492078147,NA,-0.383361668447238,8,-113.797480293281,245.880674872277,6.25039292548541,0.00891041453457325
"42",0.785623715471782,2.9702637342868,4.33491289563229,-0.118696703843032,NA,NA,-1.10695682660211,NA,-0.179603518730372,7,-115.185479142854,246.120958285708,6.49067633891642,0.00790170894577303
"6",1.23352862159738,2.89940034068776,4.18237609481377,-0.608657355949158,NA,-0.212764205878517,NA,NA,NA,6,-116.611465680532,246.515239053372,6.8849571065804,0.00648789851344324
"22",1.89730353695724,2.65708967826201,3.95611066756429,-0.967091850666461,NA,0.0689609630612753,NA,0.746475278706634,NA,7,-115.79082640003,247.33165280006,7.701370853269,0.00431342305482405
"64",33.0313963812138,0.325582891164681,29.1809088325744,-0.338177989111426,-8.42208524089057,-0.525667223330368,-0.143908437771528,0.5054526074315,-0.256789598196201,10,-111.990339702567,247.587236782184,7.95695483539259,0.00379596936390841
"30",0.905125101491184,2.88668041971501,4.39401136937155,-0.323530001624179,NA,-0.176120561870067,-1.19336391714428,0.239365484601507,NA,8,-114.876461530949,248.038637347612,8.40835540082091,0.003029021188932
"2",28.8289551366977,2.27372959177974,17.8135770625744,-1.01416507852349,NA,NA,NA,NA,NA,5,-118.889127325922,248.687345560934,9.05706361414283,0.00218996469066679
"10",39.5738969702457,2.26823109523227,26.613069532998,-0.885165130740517,NA,NA,-0.353614260118039,NA,NA,6,-118.800656671675,250.893621035658,11.263339088867,0.00072669216964091
"13",34.6121750345744,2.42834860973127,21.0352322126134,NA,NA,-0.454032109708157,-1.08916230321337,NA,NA,6,-118.923341573638,251.138990839583,11.5087088927918,0.000642789989438271
"62",30.6940822032055,2.27990826856783,17.8998426570752,-1.3440159378512,NA,0.304464597079235,0.598710780892993,1.14298448900454,-0.060023682381775,9,-116.935242395341,254.773710597133,15.1434286503421,0.000104423858767811
"46",29.9030159819783,2.55210761876309,20.6086268733889,-0.497028970957316,NA,-0.23488938667985,0.310282409481004,NA,-0.687993265292174,8,-118.302789487628,254.891293260969,15.2610113141782,9.84616221762861e-05
