"","p(Int)","lam(Int)","p(camdays)","lam(ndvi)","lam(npp)","lam(rad)","lam(water)","lam(ndvi:rad)","lam(ndvi:water)","df","logLik","AICc","delta","weight"
"5",3.30889047172186,2.90810649783416,6.69396720422568,NA,NA,-0.684337582464161,NA,NA,NA,5,-182.183171008668,375.275432926426,0,0.180341929243637
"6",2.04787003063994,2.92296904542658,5.25154003673812,0.277459091549928,NA,-0.634062229823144,NA,NA,NA,6,-181.442458063023,376.177223818354,0.901790891928272,0.114888168782695
"42",1.52777130726234,3.16603864225785,4.63084915478871,0.356942090490831,NA,NA,-0.112363999168533,NA,-0.593134853397312,7,-180.693104896169,377.136209792339,1.86077686591278,0.0711269439030331
"1",1.90334654905922,3.04128590689067,4.98531026289658,NA,NA,NA,NA,NA,NA,4,-184.270839740126,377.138694405625,1.86326147919857,0.0710386372914358
"7",3.2458635848034,2.90536224555788,6.62593548333999,NA,-0.0895533435939982,-0.694407230606228,NA,NA,NA,6,-182.096456430116,377.485220552539,2.2097876261131,0.0597375525013367
"13",3.14603115559347,2.90247912275993,6.49292625923155,NA,NA,-0.675801083344116,0.0968890438316857,NA,NA,6,-182.129384244304,377.551076180917,2.27564325449055,0.0578025578744566
"22",1.70613949330898,2.98014013788039,4.82434068160584,0.230450817685208,NA,-0.472016962139921,NA,0.227388803435764,NA,7,-180.94459679513,377.639193590259,2.3637606638332,0.0553111393924576
"2",1.40646528908859,3.0531307528729,4.47827647229734,0.309613729459478,NA,NA,NA,NA,NA,5,-183.462258781762,377.833608472616,2.5581755461896,0.0501875447183864
"46",2.07044945838535,3.06816550666735,5.2837645489333,0.332005121175514,NA,-0.400777569990448,-0.139400685807382,NA,-0.495592282461221,8,-179.917031582864,378.119777451441,2.84434452501529,0.0434965834364868
"8",2.00489689203422,2.92059988750017,5.20522468434942,0.278520520788096,-0.0867176221708235,-0.643221593879123,NA,NA,NA,7,-181.3553777812,378.4607555624,3.18532263597399,0.0366785948327137
"14",2.03752215212286,2.91917845957678,5.23479644321771,0.273205051256254,NA,-0.625494448616159,0.0533257331125545,NA,NA,7,-181.421101138713,378.592202277427,3.31676935100086,0.0343454647824037
"62",1.69207946795507,3.11386384760009,4.82090291145473,0.266955640029948,NA,-0.24822313200447,-0.19544746590564,0.264592286400818,-0.463368616172568,9,-179.17553875966,379.254303325771,3.97887039934506,0.0246658440869889
"9",1.91183716872633,3.03155792168544,4.98207259972089,NA,NA,NA,0.104722695759634,NA,NA,5,-184.200574154785,379.310239218661,4.03480629223526,0.0239855486573004
"3",1.86380900590514,3.04025749470378,4.94388949008558,NA,-0.0741217301038713,NA,NA,NA,NA,5,-184.22249836291,379.354087634911,4.0786547084852,0.0234654071761622
"44",1.51926139718975,3.16849177872986,4.62124525777345,0.340324865811122,-0.110309463800108,NA,-0.0477326865225906,NA,-0.614033114345934,8,-180.589229915124,379.464174115963,4.18874118953676,0.0222086990463325
"15",3.08354273751012,2.89520632034958,6.42220442426095,NA,-0.127322072161731,-0.688786876165402,0.150125320343447,NA,NA,7,-181.981860322548,379.713720645096,4.43828771866964,0.0196035524349214
"24",1.6572544734605,2.97965009985521,4.77189221246959,0.230199195516091,-0.0935506678701284,-0.478669492495417,NA,0.232008596672091,NA,8,-180.842504293572,379.970722872859,4.69528994643264,0.0172396106799564
"10",1.41621578023505,3.04349486563765,4.48184395665571,0.313456475446882,NA,NA,0.10582185881115,NA,NA,6,-183.371187628884,380.034682950076,4.75925002365,0.0166970097082388
"4",1.39409065818089,3.05100927509793,4.46690130590918,0.309924173056822,-0.0694928471685979,NA,NA,NA,NA,6,-183.416798421081,380.125904534471,4.85047160804459,0.0159525525642936
"48",2.03808824564096,3.0686295340857,5.24630706636348,0.316466826420695,-0.105276673015926,-0.403315429991099,-0.0779903676325458,NA,-0.510371205021478,9,-179.807058003504,380.51734181346,5.24190888703379,0.013116883436007
"30",1.46373408154737,2.99309828755315,4.66863070344182,0.261027498052122,NA,-0.495868778962981,-0.00882165811590884,0.197193738415479,NA,8,-181.185579429065,380.656873143845,5.3814402174192,0.0122329673263537
"16",1.97679991038229,2.91344435015126,5.16527506427938,0.270703535141872,-0.110142650011793,-0.631557124226084,0.093097490721808,NA,NA,8,-181.298178675085,380.882071635885,5.60663870945916,0.010930262311231
"11",1.84766959706898,3.02749669646187,4.9104181630573,NA,-0.109053750151834,NA,0.139931708920834,NA,NA,6,-184.109930863054,381.512169418416,6.23673649198952,0.00797639384205889
"64",1.67867614425524,3.11416982107062,4.80647806232438,0.256550493484419,-0.0909168304532011,-0.251229930844797,-0.146162965513141,0.261450782667755,-0.476946954200501,10,-179.087669840688,381.781897058425,6.50646413199934,0.006970051334627
"12",1.40174277514515,3.03785217917744,4.46732513272485,0.31434440325146,-0.103880532365733,NA,0.135365057005368,NA,NA,7,-183.281901430167,382.313802860334,7.03836993390826,0.00534237167823035
"32",1.67201609672184,2.9788530668839,4.78977090014308,0.230005804843368,-0.0930025271770473,-0.479409312401573,-0.00186509317091779,0.232050947777978,NA,9,-180.842430234484,382.588086275419,7.31265334899319,0.00465772895825593
