"","p(Int)","lam(Int)","p(camdays)","lam(ndvi)","lam(npp)","lam(rad)","lam(water)","lam(ndvi:rad)","lam(ndvi:water)","df","logLik","AICc","delta","weight"
"7",0.912583705751466,-1.88845118525133,3.88014324729367,NA,-8.69140042140363,-2.18766294814009,NA,NA,NA,6,-43.4712889128724,100.234885518053,0,0.228371883474255
"24",0.760128112167261,-3.56888762673407,3.40076763424072,1.35993584367191,-11.3619710108985,-4.42995472873197,NA,2.57577729559717,NA,8,-41.3932987460348,101.072311777784,0.837426259731245,0.150244240246075
"15",1.13761004476854,-2.22248507393824,3.96303236025207,NA,-9.91428296917697,-2.33500125998448,0.396658501747481,NA,NA,7,-43.19078960266,102.13157920532,1.89669368726746,0.0884669047496932
"8",0.718078864956607,-2.05460374604658,3.82628178101384,0.301811318097327,-9.57185423056209,-2.36108071307447,NA,NA,NA,7,-43.2023984379208,102.154796875842,1.91991135778912,0.0874458451496663
"5",0.672549348439702,-0.0242296883596176,3.67984111918666,NA,NA,-1.27876989771953,NA,NA,NA,5,-45.7785316882127,102.466154285516,2.2312687674637,0.0748391380681702
"1",0.467713602698127,0.375211426056392,3.48251527851274,NA,NA,NA,NA,NA,NA,4,-47.3688219797599,103.334658884893,3.09977336684044,0.0484769624787679
"32",0.805880471475758,-3.59642862527697,3.40018752291313,1.3129189956406,-11.5800611582945,-4.38114466832252,0.091677925521153,2.4756738206227,NA,9,-41.3768441896446,103.656914185741,3.4220286676882,0.0412627862411846
"16",0.872392132722572,-2.42616165235105,3.89909148974394,0.330324039185932,-10.9545715913231,-2.52409301626343,0.381389456335209,NA,NA,8,-42.8855388317755,104.056791949265,3.8219064312128,0.0337851768807122
"22",38.1020491302854,-1.23482526140491,42.7979560548756,0.338703482025138,NA,-2.40519427348591,NA,2.2630009912254,NA,7,-44.1749400055825,104.099880011165,3.86499449311249,0.0330650925951759
"64",0.541149964042615,-3.23372110474541,3.42684538110014,1.22388745635416,-10.8344398677175,-4.06373661807911,-0.176132640148967,2.53378503720013,-0.943090499775928,10,-40.3762790429112,104.359115462872,4.12422994481904,0.0290454079173337
"3",0.536262295033841,-0.165613249483313,3.46350472527399,NA,-3.09127122090055,NA,NA,NA,NA,5,-46.7934913363063,104.496073581704,4.26118806365101,0.0271229799243384
"6",0.606043948443166,-0.0157060202789014,3.66793243718595,0.112151956192807,NA,-1.31046337482058,NA,NA,NA,6,-45.74277661746,104.777860927228,4.54297540917506,0.0235585229451883
"13",0.668478767129912,-0.0195584622293407,3.68699836996992,NA,NA,-1.27863640762728,-0.0441083255000299,NA,NA,6,-45.7739185985874,104.840144889483,4.60525937143001,0.0228361699977637
"2",0.433022543359377,0.392270868193711,3.4878899681045,0.0629802550878296,NA,NA,NA,NA,NA,5,-47.3588106338463,105.626712176784,5.39182665873096,0.0154106994662188
"9",0.46801770724239,0.374860716987915,3.4814161803525,NA,NA,NA,0.0049479300859944,NA,NA,5,-47.3687597767256,105.646610462542,5.41172494448946,0.0152581364096422
"48",0.945192768994693,-2.07582993441,4.06699300312302,0.216644039427554,-10.2656981619298,-2.072205491692,0.0975022453318171,NA,-0.661961873797347,9,-42.4222000434034,105.747625893258,5.51274037520588,0.0145066212114748
"30",87.4327375759021,-1.28140090589052,101.716026789668,0.449232179151313,NA,-2.57550018329889,-0.302719229331267,2.52289204898468,NA,8,-43.8121743179128,105.91006292154,5.67517740348731,0.0133749916212567
"11",0.591650514606349,-0.280853235521306,3.44069432126039,NA,-3.60048034330543,NA,0.179661400415495,NA,NA,6,-46.7249498670406,106.742207426389,6.50732190833624,0.00882258061456835
"4",0.464577579746237,-0.159774091944825,3.48140094561126,0.132895160122084,-3.27349623383847,NA,NA,NA,NA,6,-46.7526341586068,106.797576009521,6.5626904914688,0.00858168363704119
"62",0.391433830131626,-0.769520036051793,3.43415017090366,0.959249056077679,NA,-2.56042988458085,-0.848956755650719,2.42693187458079,-1.16370835819859,9,-43.068851514156,107.040928834764,6.80604331671103,0.00759852165826641
"14",0.606129158403918,-0.0116578418324707,3.67761406876875,0.111873212471521,NA,-1.31096367821685,-0.0429217239663085,NA,NA,7,-45.7381860732906,107.226372146581,6.99148662852861,0.00692565099264438
"42",0.493797520934234,0.441261890894303,3.6179676974576,-0.0285425439993702,NA,NA,-0.504269774118593,NA,-1.02388886343409,7,-45.902484315431,107.554968630862,7.32008311280933,0.00587633819328205
"10",0.433983853344126,0.391506868001586,3.48655599966131,0.0641209406391145,NA,NA,0.0111094543069114,NA,NA,6,-47.3584906341234,108.009288960554,7.77440344250184,0.00468222604191837
"46",0.695543368607772,0.139317677175947,3.82966734009818,0.0721406416223534,NA,-0.973928322501613,-0.362612601117863,NA,-0.651778605618679,8,-45.0153476418948,108.316409569504,8.08152405145128,0.00401570668192098
"44",0.512169429255901,-0.227441257629457,3.56258483086959,-0.0399179209845909,-4.11649967748407,NA,-0.205459056738091,NA,-1.25064774346239,8,-45.1052538424217,108.496221970558,8.26133645250513,0.00367042383518501
"12",0.500078000853202,-0.29817644459619,3.46745579196672,0.17382351069904,-3.97428514322242,NA,0.206383962949948,NA,NA,7,-46.6598885425995,109.069777085199,8.83489156714634,0.00275530896825663
