"","p(Int)","lam(Int)","p(camdays)","lam(ndvi)","lam(npp)","lam(rad)","lam(water)","lam(ndvi:rad)","lam(ndvi:water)","df","logLik","AICc","delta","weight"
"5",1.02669370693332,3.57054698500985,2.47051614280735,NA,NA,0.27449270630847,NA,NA,NA,5,-283.575694004682,578.060478918455,0,0.30116501948155
"6",0.993691367681126,3.58096006778496,2.45159615227786,0.0916224761864267,NA,0.307275350457687,NA,NA,NA,6,-283.05760992267,579.407527537649,1.34704861919363,0.153566552893967
"7",1.00455944166983,3.5730894584493,2.46187071812579,NA,-0.0722875935441966,0.263520901862793,NA,NA,NA,6,-283.24748053745,579.787268767207,1.72678984875256,0.127009695698291
"13",1.02178953912037,3.57291877144151,2.47340663367993,NA,NA,0.268481643016119,-0.0241297069416327,NA,NA,6,-283.54959151061,580.391490713527,2.3310117950723,0.0938926824939505
"8",0.972511261175608,3.5835757847575,2.44434014337209,0.0922452773161364,-0.072385709184855,0.296369770527299,NA,NA,NA,7,-282.717827310545,581.18565462109,3.12517570263515,0.0631220718941406
"14",0.973618074436292,3.59014124817143,2.45793126956317,0.112127829956585,NA,0.296938517361113,-0.069828863383309,NA,NA,7,-282.855674695683,581.461349391366,3.4008704729107,0.0549939465004309
"22",0.997233576971075,3.58408188624469,2.45250927871319,0.0888181419133469,NA,0.313181393153667,NA,0.0110541744558134,NA,7,-283.050347754266,581.850695508532,3.79021659007731,0.0452657219841278
"15",1.00504965128295,3.57272737076619,2.46126217563503,NA,-0.0733988285726363,0.264315453394878,0.0039175941914734,NA,NA,7,-283.24686318254,582.243726365079,4.18324744662436,0.0371898036653106
"46",0.984363616233054,3.63086489063206,2.45997341579792,0.0916257127002739,NA,0.315312906080369,-0.0341457685393643,NA,-0.102346401098771,8,-282.192635362827,582.670985011368,4.61050609291271,0.0300362596115165
"16",0.963295571855146,3.58899289926711,2.4495620424413,0.105194683404781,-0.0597681088883893,0.291779506073292,-0.0443309757608682,NA,NA,8,-282.646015289122,583.577744863958,5.51726594550314,0.0190873417405728
"24",0.97632269089646,3.58745621087231,2.44506197886277,0.0888112744433055,-0.0728760220543099,0.303527721997656,NA,0.0135126523441413,NA,8,-282.706882277916,583.699478841545,5.63899992309052,0.0179602034445345
"30",0.977740567931597,3.59219794981465,2.46008943163224,0.110066058399048,NA,0.301314903056238,-0.0692343541007167,0.00777158126507202,NA,8,-282.851975467838,583.989665221391,5.92918630293593,0.0155345286393477
"48",0.97281637773025,3.63528364151678,2.44915896061112,0.0769003794617888,-0.0827486359158054,0.31001254791724,0.00857358141713155,NA,-0.117870368180652,9,-281.82413303589,584.551491878232,6.49101295977755,0.01173002591685
"62",0.976200002040955,3.62636750113388,2.45823410043362,0.0982147231463143,NA,0.300667376825566,-0.0333563263257291,-0.0297749846075225,-0.11201589455117,9,-282.143620496785,585.190466800021,7.12998788156585,0.0085221138217954
"1",1.14850611077221,3.61573398462073,2.56425835125183,NA,NA,NA,NA,NA,NA,4,-288.788417705945,586.173850337262,8.11337141880733,0.00521204682135535
"32",0.966737451262906,3.59204657803543,2.4503136955208,0.102127701116032,-0.0604380985492128,0.297723458925227,-0.0433969935607115,0.0111377771333268,NA,9,-282.638603982355,586.180433771162,8.119954852707,0.00519491844483989
"3",1.10204801129871,3.61583214270259,2.54022875859947,NA,-0.111877037939002,NA,NA,NA,NA,5,-288.010691286911,586.930473482914,8.86999456445881,0.00357034085838309
"9",1.1062933434146,3.62086208674211,2.56152181451602,NA,NA,NA,-0.127172658330618,NA,NA,5,-288.103353386351,587.115797681793,9.05531876333851,0.00325437085196835
"64",0.964913293741381,3.63105568307094,2.44786738174435,0.0832738748329161,-0.0824540849385511,0.295676201588558,0.00921644795615943,-0.0289566111827923,-0.127335852831227,10,-281.777144639657,587.160846656363,9.1003677379083,0.00318188721006538
"42",1.11051683430958,3.6473709941852,2.56572306924068,0.0126249483602743,NA,NA,-0.122491304359898,NA,-0.0538103458102076,7,-287.915495963994,591.580991927989,13.5205130095341,0.000349029737467928
"44",1.0937532056109,3.65299568980198,2.55048230726498,-0.00576472980809167,-0.0985023770186744,NA,-0.0636709208715174,NA,-0.0756555238858581,8,-287.41867309271,593.123060471135,15.0625815526798,0.000161438272284624
"2",16.1485215361535,3.27426125405431,6.50311672340053,0.00746675354248362,NA,NA,NA,NA,NA,5,-307.915604931175,626.74030077144,48.6798218529852,8.09311145709466e-12
"11",15.7981968489915,3.26958205484841,7.24188368245445,NA,-0.0772487600862192,NA,0.0380544107552825,NA,NA,6,-307.731525715766,628.755359123839,50.6948802053845,2.95495696191435e-12
"4",16.3674666059455,3.27145728947923,5.64364709419274,0.010852590651073,-0.066194329672541,NA,NA,NA,NA,6,-307.757361094093,628.807029880494,50.746550962039,2.87959226055481e-12
"10",16.1365670752953,3.27447893974113,6.51914447770285,0.00928601571680025,NA,NA,-0.00474729845353172,NA,NA,6,-307.915161687567,629.122631067441,51.0621521489859,2.45922956136782e-12
"12",16.3366134948748,3.26929474116667,5.66110306042852,-0.00303233369425777,-0.0778585532426154,NA,0.0397454430939001,NA,NA,7,-307.734057356767,631.218114713534,53.1576357950789,8.62522788832224e-13
