"","p(Int)","lam(Int)","p(camdays)","lam(ndvi)","lam(npp)","lam(rad)","lam(water)","lam(ndvi:rad)","lam(ndvi:water)","df","logLik","AICc","delta","weight"
"5",1.23984635209974,1.44878329753183,3.07934372085177,NA,NA,0.32275659158965,NA,NA,NA,5,-144.34750719217,299.60410529343,0,0.224729132677685
"13",1.26337596726987,1.40896054274471,3.02299321648826,NA,NA,0.374185910716005,0.201399887068298,NA,NA,6,-143.777987234082,300.848282160472,1.24417686704203,0.12063957588391
"1",1.36020744997551,1.50061722962529,3.14686957197427,NA,NA,NA,NA,NA,NA,4,-146.329776870547,301.256568666468,1.65246337303739,0.0983629428135815
"7",1.25266684895169,1.43981482185113,3.08157705339706,NA,0.084885089241962,0.33948199551239,NA,NA,NA,6,-144.130747010737,301.553801713782,1.94969642035198,0.0847789780784543
"6",1.23198556042089,1.45180522355861,3.07005278867097,0.0347382490416705,NA,0.331780386689305,NA,NA,NA,6,-144.321972896912,301.936253486132,2.33214819270142,0.0700228575987434
"22",1.24527485329842,1.51085516964344,3.06348836595288,-0.0640491632100412,NA,0.45612384343195,NA,0.253128489216207,NA,7,-143.315148919187,302.380297838373,2.77619254494311,0.0560811388295498
"14",1.27625048548861,1.40010019234099,3.02749515920239,-0.0470883774984273,NA,0.368534892154425,0.227562327651432,NA,NA,7,-143.741267078897,303.232534157794,3.62842886436408,0.0366231806142277
"15",1.26515008349585,1.40972281274991,3.02881448691914,NA,0.0332585841772538,0.3755469094284,0.180948361654435,NA,NA,7,-143.751785777332,303.253571554664,3.64946626123378,0.0362399713860548
"30",1.29731522638524,1.45337369384715,3.00735702203571,-0.166998637769925,NA,0.510222696845016,0.264975361257617,0.278378817162672,NA,8,-142.517082245216,303.319878776145,3.71577348271512,0.0350581839871602
"9",1.3775743423158,1.48955281989232,3.13079924917929,NA,NA,NA,0.0747887658395518,NA,NA,5,-146.252547561785,303.414186032662,3.8100807392313,0.0334434332734757
"2",1.36569641739918,1.49581586890596,3.16012754886662,-0.0463462241420365,NA,NA,NA,NA,NA,5,-146.284045059676,303.477181028442,3.87307573501198,0.0324064654791908
"3",1.37079963240221,1.4974483996237,3.15062477599419,NA,0.0379937187549308,NA,NA,NA,NA,5,-146.284361889145,303.477814687381,3.87370939395117,0.0323961997822451
"8",1.24522177691135,1.44273661296747,3.07297200950694,0.034228118119173,0.0848108786404869,0.348375240810086,NA,NA,NA,7,-144.105871873192,303.961743746384,4.35763845295406,0.025433738899654
"24",1.25787763660827,1.50080063876164,3.06509340881045,-0.0635480700965945,0.0818477021763098,0.468819857625348,NA,0.249452020420869,NA,8,-143.114118066817,304.513950419348,4.90984512591808,0.01929745572044
"46",1.31683488386651,1.47685026089561,3.04451401399589,-0.113554552500631,NA,0.400320873236415,0.303558601328909,NA,-0.202725478056482,8,-143.34617085276,304.978055991235,5.3739506978045,0.0153010350023231
"10",1.4059233487983,1.46989713460701,3.14776767092064,-0.100326728698553,NA,NA,0.136593784408487,NA,NA,6,-146.091801384554,305.475910461416,5.8718051679856,0.0119292484589731
"62",1.31918045856581,1.49776542958377,3.01400613849402,-0.203252467561634,NA,0.515114559894147,0.315161302391567,0.253006068768066,-0.132900438835295,9,-142.351544362351,305.606314531154,6.00220923772417,0.0111762523726495
"16",1.27701010765307,1.40127475043711,3.03278149485324,-0.0398759260000969,0.0264831661879684,0.371017608348182,0.207982818315653,NA,NA,8,-143.726155841153,305.738025968021,6.13392067459029,0.01046394443854
"4",1.37707948305348,1.49236820483642,3.16502300636406,-0.048313924237997,0.0399253056868776,NA,NA,NA,NA,6,-146.234445736075,305.761199164457,6.15709387102686,0.0103434026020176
"11",1.38054488923494,1.48967880266674,3.13515710026911,NA,0.0193102320142127,NA,0.0614381421334606,NA,NA,6,-146.243443750619,305.779195193546,6.17508990011584,0.0102507499848918
"32",1.29723796068373,1.45385976516046,3.00881482160296,-0.164469799268869,0.00876193402051627,0.510461218911686,0.258565352386589,0.277317323114591,NA,9,-142.515384412605,305.933994631661,6.32988933823049,0.00948727240127043
"48",1.31900336352028,1.47958077320399,3.04214754421282,-0.122522502089021,-0.0216343486730705,0.40016857634494,0.323089141896572,NA,-0.213604371870226,9,-143.337824774925,307.578875356302,7.97477006287124,0.00416831047061391
"42",1.43501060836632,1.51346666074538,3.16621918667608,-0.134036496912743,NA,NA,0.170043486749169,NA,-0.10642796394147,7,-145.992917258261,307.735834516522,8.1317292230919,0.0038536903076443
"12",1.40593410666481,1.469938803986,3.14786576185262,-0.100178429272601,0.000502786739429255,NA,0.136157414787611,NA,NA,7,-146.091795752183,307.933591504366,8.3294862109355,0.00349087603201785
"64",1.32125845489595,1.50064918647739,3.01096931279202,-0.212961120522094,-0.0233444335804148,0.514972743089813,0.33620220304695,0.253209981280757,-0.14472635821117,10,-142.341562251872,308.289681880794,8.68557658736336,0.0029215302246202
"44",1.43957516289408,1.52022337537074,3.16661439476482,-0.144337558436166,-0.0295324697867401,NA,0.200016363208608,NA,-0.121295738895115,8,-145.978387878102,310.242490041919,10.638384748489,0.00110043268006604
