,p(Int),lam(Int),p(camdays),lam(ndvi),lam(npp),lam(rad),lam(water),lam(ndvi:rad),lam(ndvi:water),df,logLik,AICc,delta,weight
5,0.683472815,5.104038159,3.059949227,NA,NA,-0.300168473,NA,NA,NA,5,-369.5316367,749.9723644,0,0.182253522
13,0.690792296,5.079290546,3.039580086,NA,NA,-0.270951512,0.164575714,NA,NA,6,-368.4851809,750.2626695,0.290305101,0.157629311
15,0.691916111,5.071839247,3.045573312,NA,0.142851527,-0.261725567,0.115365125,NA,NA,7,-367.7674501,751.2849003,1.312535925,0.094550183
46,0.656590316,5.169922405,3.014689375,0.102346749,NA,-0.24576651,0.188890667,NA,-0.195656911,8,-366.5432102,751.3721346,1.399770223,0.090514819
8,0.670282019,5.094216742,3.046577385,0.117967903,0.179214605,-0.255636104,NA,NA,NA,7,-367.8149886,751.3799772,1.407612884,0.090160575
6,0.66770331,5.112631175,3.047728445,0.113564388,NA,-0.278320605,NA,NA,NA,6,-369.1549743,751.6022564,1.629892021,0.080676932
24,0.684111024,5.159923453,3.043959796,0.15127465,0.16437793,-0.112708659,NA,0.211825363,NA,8,-366.7251816,751.7360774,1.763713052,0.075455431
14,0.680481844,5.086937527,3.034550509,0.064885511,NA,-0.261614475,0.147228616,NA,NA,7,-368.3728877,752.4957755,2.523411132,0.051608848
62,0.672679068,5.199820533,3.016181578,0.114610052,NA,-0.140399853,0.187573874,0.157646004,-0.157676637,9,-365.9611362,752.8254981,2.853133749,0.043764887
48,0.65397953,5.156472374,3.017485743,0.126889265,0.124727372,-0.234603211,0.129020749,NA,-0.171968305,9,-366.0445825,752.9923908,3.020026486,0.040261088
9,0.710157368,5.095906667,3.030654433,NA,NA,NA,0.204095371,NA,NA,5,-371.5384506,753.9859921,4.013627736,0.024497837
4,0.675088942,5.119882853,3.038821452,0.180730519,0.227402027,NA,NA,NA,NA,6,-370.5327532,754.3578142,4.385449823,0.020341717
1,0.70208643,5.130510092,3.057376253,NA,NA,NA,NA,NA,NA,4,-373.1169114,754.8308377,4.858473331,0.016057275
2,0.673412192,5.14290165,3.039627225,0.181289865,NA,NA,NA,NA,NA,5,-372.2051119,755.3193146,5.346950247,0.012577677
10,0.687815003,5.110523961,3.022691547,0.121635088,NA,NA,0.170158112,NA,NA,6,-371.1663819,755.6250716,5.652707226,0.01079459
12,0.683427567,5.103308509,3.027631315,0.143943355,0.193025584,NA,0.107228018,NA,NA,7,-370.1355641,756.0211282,6.048763818,0.008855306
16,12.4100459,4.790798747,13.81206265,-0.14407397,0.082581393,-0.243454329,0.313028509,NA,NA,8,-383.5891444,785.464003,35.49163864,3.58E-09
32,30.6872544,4.750566519,28.50644071,-0.168383708,0.012697552,0.021834431,0.414774062,0.332270361,NA,9,-387.8407654,796.5847566,46.61239225,1.38E-11
22,31.46074825,4.660926533,28.63153431,0.13600711,NA,0.034776712,NA,0.283856321,NA,7,-392.4649799,800.6799599,50.70759551,1.78E-12
30,43.54524773,4.69004109,28.87292044,-0.067012181,NA,0.081760755,0.437686083,0.435463024,NA,8,-391.6404737,801.5666617,51.59429734,1.14E-12
11,33.58776995,4.60049424,20.15570879,NA,0.109782593,NA,0.334444335,NA,NA,6,-395.0985805,803.4894686,53.51710424,4.36E-13
42,34.26441741,4.660319198,19.97685081,-0.05717764,NA,NA,0.442224936,NA,-0.150058056,7,-394.7130713,805.1761425,55.20377818,1.88E-13
7,54.78006262,4.638350034,27.57788902,NA,0.172802913,-0.234720664,NA,NA,NA,6,-396.0121525,805.3166127,55.34424835,1.75E-13
3,34.86183173,4.66122558,20.93901933,NA,0.199818414,NA,NA,NA,NA,5,-397.3997377,805.7085663,55.73620193,1.44E-13
64,73.46418391,4.702270443,47.27744113,-0.049363361,0.039057297,0.067113492,0.431324562,0.404777278,-0.048038277,10,-391.5321581,806.6708735,56.69850917,8.89E-14
44,43.06253605,4.653766965,19.06126274,-0.033318093,0.080898528,NA,0.397124807,NA,-0.136043614,8,-394.5912241,807.4681625,57.49579813,5.97E-14
