"","p(Int)","lam(Int)","p(camdays)","lam(ndvi)","lam(npp)","lam(rad)","lam(water)","lam(ndvi:rad)","lam(ndvi:water)","df","logLik","AICc","delta","weight"
"1",0.921569827441418,2.83466316017562,2.58372120146101,NA,NA,NA,NA,NA,NA,4,-218.124850688125,444.846716301623,0,0.312404623762233
"5",5.62110895694307,2.78433695843288,8.05452553959811,NA,NA,-0.262457426852784,NA,NA,NA,5,-217.817623301862,446.544337512816,1.69762121119317,0.133685311044489
"2",0.925623859267047,2.82309138988477,2.59322736569562,-0.0839578317317387,NA,NA,NA,NA,NA,5,-218.038008764112,446.985108437314,2.13839213569128,0.1072436287861
"9",0.922132449442776,2.82898052035146,2.5723958281456,NA,NA,NA,0.0739753294614659,NA,NA,5,-218.043821219406,446.996733347903,2.1500170462806,0.106622088076813
"22",5.35361633321673,2.86141785097181,7.7431965326544,-0.0695440364473874,NA,-0.0604153850928411,NA,0.356199630401012,NA,7,-216.319399405995,448.38879881199,3.54208251036698,0.0531574340076192
"6",5.85447776077479,2.7684778825336,8.34856265593901,-0.148839825935358,NA,-0.281627950924171,NA,NA,NA,6,-217.565486018212,448.423279728732,3.57656342710885,0.0522488303567162
"7",5.38517975823479,2.78225564437475,7.79829411156446,NA,0.131173651417124,-0.244794086021443,NA,NA,NA,6,-217.701382414573,448.695072521454,3.84835621983171,0.0456097317224008
"4",0.92964688639078,2.81903925520106,2.60691487509247,-0.0758583178426913,0.206277479631139,NA,NA,NA,NA,6,-217.804366333099,448.901040358506,4.05432405688356,0.0411464309299753
"13",5.54852173362678,2.78258276201022,7.96691960372204,NA,NA,-0.258902465189802,0.0167646028075272,NA,NA,6,-217.813988506322,448.920284704951,4.07356840332847,0.0407524115455255
"14",5.61094141632895,2.74783056739833,8.04552625481537,-0.217089528591322,NA,-0.264043376570252,0.120499701547362,NA,NA,7,-217.4303226579,450.6106453158,5.76392901417699,0.01750234219246
"8",5.72060258751405,2.76730458607632,8.20606489191015,-0.14221189328454,0.116780270801576,-0.266158655667668,NA,NA,NA,7,-217.46830279133,450.68660558266,5.83988928103764,0.0168500660742739
"15",5.36567321908925,2.78205836462758,7.77529625016964,NA,0.130930491671325,-0.244422379493292,0.00167316844562445,NA,NA,7,-217.701355565297,451.152711130595,6.3059948289723,0.013347135654969
"42",0.930316833688175,2.80310045455522,2.57714194912696,-0.184279071079409,NA,NA,0.174608729053041,NA,-0.0135263406883638,7,-217.745912309393,451.241824618786,6.39510831716336,0.0127654851986537
"62",5.34944555740717,2.77853874615178,7.65845874475557,-0.252856529778908,NA,0.0226908534792913,0.188666365347902,0.479147306881405,0.123282879049854,9,-215.562103764525,452.027433335501,7.18071703387841,0.00861875550852685
"30",141.133510328335,2.63178179954095,136.646353459224,-0.274142984256277,NA,0.0289185861968128,0.40086778722526,0.478322036007081,NA,8,-217.067366227028,452.420446739771,7.5737304381484,0.007081133541042
"32",4.59279797373996,2.83183789278859,6.81440352828946,-0.207123268751382,0.0162078257370807,-0.00451396419656283,0.241945225688597,0.407450125158207,NA,9,-215.819066149612,452.541358105676,7.69464180405316,0.00666572227835606
"16",5.50964490476181,2.75025413768775,7.94218421162863,-0.201099390455369,0.0935566057899959,-0.25399802940607,0.101974943153476,NA,NA,8,-217.375156425407,453.036027136529,8.18931083490605,0.00520512543738648
"46",5.58379426459757,2.75234509432868,8.0149358811332,-0.213511106221337,NA,-0.264140168176345,0.123896202307857,NA,-0.00819438173117622,8,-217.429039147177,453.143792580068,8.29707627844556,0.00493208134960423
"44",0.933133188185644,2.79843805611536,2.59130700615807,-0.163824681993956,0.168651395088014,NA,0.141137685014843,NA,-0.00208861251253107,8,-217.612371402487,453.510457090688,8.66374078906529,0.00410591585045355
"10",36.270924335791,2.56313799569898,36.8739019828765,-0.228891312023394,NA,NA,0.237737653670778,NA,NA,6,-220.304823064068,453.901953820444,9.05523751882134,0.00337596246748479
"11",35.8127926866285,2.60348227750019,36.5334484255245,NA,0.0589132504260874,NA,0.108913826158314,NA,NA,6,-220.640909511795,454.574126715898,9.72741041427571,0.00241233223397939
"24",36.1408835358485,2.68623390449945,37.04915844066,-0.0111409410295563,0.0130432485258374,-0.055023353979721,NA,0.379758280722632,NA,8,-218.271475931438,454.828666148591,9.98194984696829,0.0021240492598855
"12",37.3544786411584,2.56281440366804,37.8941813070312,-0.226454055629159,0.0172329096819801,NA,0.234912769413345,NA,NA,7,-220.30260015541,456.355200310819,11.5084840091964,0.000990106480113705
"64",148.384073909001,2.55119020354061,143.508819003799,-0.334207282974658,-0.0564998491564923,0.0863921959185844,0.327561416727102,0.58453159136804,0.187811792808756,10,-216.415910965812,456.438379308674,11.5916630070511,0.000949772986146872
"48",41.2371331658277,2.53429967316953,41.7077641736212,-0.225547755203328,-0.00847888918022725,-0.250792219699598,0.181994126867089,NA,0.0276781458267696,9,-219.344950131234,459.593126068919,14.7464097672967,0.000196144104076499
"3",24.1509927958055,2.49808386486262,12.5428844581949,NA,0.0735511240754245,NA,NA,NA,NA,5,-227.622208641145,466.153508191382,21.306791889759,7.37915071508892e-06
