"","p(Int)","lam(Int)","p(camdays)","lam(ndvi)","lam(npp)","lam(rad)","lam(water)","lam(ndvi:rad)","lam(ndvi:water)","df","logLik","AICc","delta","weight"
"1",1.51729558169952,4.09558485941421,2.85823411064741,NA,NA,NA,NA,NA,NA,4,-326.985290397101,662.567595719576,0,0.306350333007213
"3",1.51655152944727,4.09042925223799,2.85833519691776,NA,0.0917610020755559,NA,NA,NA,NA,5,-326.653224933434,664.215540775958,1.64794505638235,0.134391448387492
"5",1.51874535315107,4.09600683689976,2.86148762307695,NA,NA,-0.0675596763240317,NA,NA,NA,5,-326.817474563932,664.544040036955,1.97644431737888,0.114035199410792
"2",1.51231722326166,4.09709116693715,2.85557709603935,0.0187032359326407,NA,NA,NA,NA,NA,5,-326.972302576307,664.853696061705,2.28610034212875,0.0976782735524951
"11",1.51810037739263,4.08589770802196,2.85363772323248,NA,0.0654453028503814,NA,0.0673630815508549,NA,NA,6,-326.483322843415,666.258953379138,3.69135765956196,0.0483782579267707
"7",1.5212522867015,4.09135490018407,2.86217895242237,NA,0.0820210447390518,-0.0539841461850739,NA,NA,NA,6,-326.547683469022,666.387674630352,3.82007891077581,0.0453626859076789
"13",1.52064552635489,4.08871604480418,2.85558216713557,NA,NA,-0.04799641564132,0.081643231765739,NA,NA,6,-326.5478634124,666.388034517107,3.82043879753087,0.0453545239271319
"4",1.51625762723452,4.09161936935177,2.85774020777779,0.0119893997814403,0.0908292496873491,NA,NA,NA,NA,6,-326.647643706152,666.587595104612,4.01999938503593,0.0410474877253467
"6",1.51897665715534,4.09613377944221,2.86169947158817,0.00099423611805299,NA,-0.0673421702535767,NA,NA,NA,6,-326.817440371373,666.927188435053,4.35959271547699,0.0346373634682162
"42",1.56592464396828,4.13204263914309,2.86565741718759,-0.0425846278649881,NA,NA,0.152777952260854,NA,-0.145183824121775,7,-325.619395338874,666.988790677748,4.42119495817155,0.0335867568229579
"22",1.55863880085557,4.13778665605294,2.8729571089663,-0.0393245225561366,NA,0.0115113460312581,NA,0.163384271149559,NA,7,-326.079723127103,667.909446254207,5.34185053463068,0.0211958214083597
"12",1.51889364290015,4.08487137353355,2.85450333109422,-0.00823656848751913,0.0651230275293755,NA,0.0697579228040034,NA,NA,7,-326.481070667787,668.712141335574,6.14454561599757,0.0141888510398734
"14",1.52177351240769,4.0861628843819,2.85720895535786,-0.0236952107533767,NA,-0.0529321515114622,0.0873113772289947,NA,NA,7,-326.530151135725,668.810302271449,6.24270655187308,0.0135092691055069
"44",1.56445619187634,4.12917940562133,2.86633803467243,-0.0372484195618054,0.0424122690196793,NA,0.132537826990153,NA,-0.137990027330871,8,-325.56591374696,669.417541779634,6.84994606005785,0.00997175200439375
"46",1.56963101973971,4.13118509342016,2.87026234945189,-0.0495529175551906,NA,-0.034903356168483,0.147472098491256,NA,-0.142433412628065,8,-325.578208510642,669.442131306998,6.87453558742197,0.00984990226180754
"30",1.56111187249642,4.12786236974385,2.86471270728259,-0.0690610278725009,NA,0.0276197138223656,0.09542207832626,0.16908560861811,NA,8,-325.735593858281,669.756902002276,7.1893062826997,0.0084155079211157
"24",1.56046688383025,4.13202358065515,2.87320550812454,-0.0409235041726453,0.0796238155122404,0.0217708190020783,NA,0.159897955694969,NA,8,-325.829146263706,669.944006813127,7.37641109355104,0.00766392135812632
"16",1.52282484541234,4.08514761826771,2.8588575902109,-0.0188277494584373,0.0596919311030237,-0.0469091599122476,0.0649540799365754,NA,NA,8,-326.406692112408,671.09909851053,8.5315027909536,0.00430156078763836
"62",1.58782179209151,4.14921887153055,2.87295430264747,-0.0776286531252663,NA,0.016572620612741,0.143788917831789,0.117406157821059,-0.110229573102329,9,-325.227700766805,671.358627340061,8.79103162048477,0.00377807082631954
"48",1.56668870708835,4.12867722794085,2.8692599066148,-0.0437603326409604,0.0386801458325704,-0.0311159958042423,0.129260749852194,NA,-0.135866396711626,9,-325.533385469887,671.969996746226,9.40240102664995,0.00278299813627531
"32",1.56330500697842,4.12602755434341,2.86811047761147,-0.0636450900931344,0.05286173332062,0.0313118895851465,0.0752905227474165,0.165463511971586,NA,9,-325.640516331103,672.184258468659,9.61666274908248,0.00250026806379868
"64",1.58639393569608,4.14658457577477,2.87352941809738,-0.0721065571364466,0.0369379264655979,0.0197255924691081,0.12638361687393,0.11679991302767,-0.104204517843953,10,-325.18615438447,673.978866145989,11.411270426413,0.00101927757135335
"9",24.0091119822111,3.74218256252983,9.77231230568792,NA,NA,NA,0.1764538229605,NA,NA,5,-339.597150346559,690.10339160221,27.5357958826335,3.21289293406069e-07
"10",23.5653785616191,3.73875096114538,12.1866421444426,-0.0271192604308428,NA,NA,0.182938038851981,NA,NA,6,-339.580914523057,692.454136738422,29.8865410188462,9.91832723658587e-08
"15",36.7810081410295,3.74230837985426,24.2067385788171,NA,0.0414177149072293,-0.0185667084859492,0.152298325979375,NA,NA,7,-339.532551441043,694.815102882085,32.2475071625094,3.04621918412301e-08
"8",26.7733277796996,3.756018181199,16.388188580218,0.00774926429073731,0.0871463952445733,-0.0457051570727631,NA,NA,NA,7,-340.03426724051,695.818534481021,33.2509387614446,1.84445789493545e-08
