"","p(Int)","lam(Int)","p(camdays)","lam(ndvi)","lam(npp)","lam(rad)","lam(water)","lam(ndvi:rad)","lam(ndvi:water)","df","logLik","AICc","delta","weight"
"1",69.8559616405931,0.796826800365572,104.711910642906,NA,NA,NA,NA,NA,NA,4,-88.6943449094431,185.985704744259,0,0.174528004620141
"3",96.5776557942338,0.766910185112839,144.803712229285,NA,0.12552180957633,NA,NA,NA,NA,5,-88.2121343509128,187.333359610917,1.34765486665728,0.0889663119238511
"22",94.1339048681039,0.845363480162563,141.288013040174,-0.0289839325294711,NA,-0.0567293675472142,NA,0.59034515068387,NA,7,-86.0598794075199,187.86975881504,1.88405407078051,0.0680374424773633
"2",81.5214309555058,0.788262087587845,122.286406681324,0.14709008499397,NA,NA,NA,NA,NA,5,-88.489516568106,187.888124045303,1.90241930104369,0.0674155405415322
"9",75.8241524498257,0.813286019968331,114.594889354014,NA,NA,NA,-0.11787780098435,NA,NA,5,-88.5313133931748,187.97171769544,1.98601295118112,0.0646558596816741
"5",46.157991246988,0.783055938329465,69.7699713619998,NA,NA,-0.292400182682391,NA,NA,NA,5,-88.5805096076169,188.070110124325,2.08440538006539,0.0615520109348797
"13",80.88908953843,0.80140249731501,122.064366132556,NA,NA,-0.320233035835788,-0.191885367248896,NA,NA,6,-87.8198470313872,188.932001755082,2.94629701082289,0.04000229023236
"7",85.501719062206,0.769751327085656,128.701679310472,NA,0.0961500816532197,-0.265325696769783,NA,NA,NA,6,-87.8606109377072,189.013529567722,3.02782482346282,0.0384044294024611
"42",101.863280621474,0.982279775959513,152.939236557414,0.0577404951963724,NA,NA,-0.016140568968017,NA,-0.623461697913671,7,-86.6783902805655,189.106780561131,3.12107581687161,0.0366549069178238
"6",83.6097215312236,0.786769295811713,125.907173851339,0.125843177994606,NA,-0.285917714664205,NA,NA,NA,6,-87.9183633189279,189.129034330163,3.14332958590413,0.0362493126863096
"11",87.0750737928411,0.785392144444818,131.112471938447,NA,0.217614608576341,NA,-0.28262349493333,NA,NA,6,-87.9461651304348,189.184637953177,3.19893320891794,0.0352553964822636
"10",105.887307310665,0.816386030538812,159.295677016441,0.203139257032485,NA,NA,-0.181782948017453,NA,NA,6,-88.0586710440719,189.409649780452,3.42394503619224,0.0315039424643743
"4",89.7701712978139,0.781604400582282,134.880502138932,0.132034096955305,0.130144058116247,NA,NA,NA,NA,6,-88.1880131415796,189.668333975467,3.68262923120759,0.0276816737866327
"15",129.793921256707,0.782478974647674,195.459607058019,NA,0.188963634177703,-0.308475482577654,-0.333484147459081,NA,NA,7,-87.0652717697215,189.880543539443,3.89483879518372,0.024894971022469
"30",127.750252467124,0.857545167490001,191.909868272283,0.045764707964997,NA,-0.0960928756561511,-0.136794446055936,0.542419876482502,NA,8,-85.7977760128091,189.881266311332,3.89556156707314,0.0248859759552908
"46",113.248328414944,0.960362286153583,170.34106226857,0.0696329905572057,NA,-0.342932728644752,-0.0849143059426332,NA,-0.622915423392389,8,-85.8135277836848,189.912769853084,3.92706510882456,0.0244970489501857
"24",111.961427507858,0.816115088757746,167.638475278415,-0.0513859879580682,0.0917260877482948,-0.0444258959168963,NA,0.598897608161234,NA,8,-85.8441689527683,189.974052191251,3.98834744699155,0.023757814078512
"14",141.07079506377,0.804939291262042,212.383338093505,0.229304395033902,NA,-0.322153313969901,-0.239527541463453,NA,NA,7,-87.176776605622,190.103553211244,4.11784846698467,0.0222682295816299
"62",190.989010629632,0.96777888144099,286.310092719256,-0.000525296906576744,NA,-0.165192222932291,-0.00675247854508637,0.389667109293392,-0.514630119098078,9,-84.697449707938,190.298125222328,4.31242047806828,0.0202038862529192
"12",111.614642367403,0.800052620499158,168.098340868591,0.301777023511205,0.25741986824223,NA,-0.400856046143002,NA,NA,7,-87.3891096128682,190.528219225736,4.54251448147713,0.0180082137445654
"8",130.466834622586,0.774464840885129,196.151803686188,0.159490438344601,0.0973957959688157,-0.265406002197579,NA,NA,NA,7,-87.4119763084041,190.573952616808,4.58824787254898,0.0176010978408693
"44",125.228298171562,0.906837334388868,188.001123211208,0.16916550331704,0.179954167524901,NA,-0.177874704487613,NA,-0.547828891573444,8,-86.3267352321556,190.939184750026,4.95348000576627,0.0146632624233797
"16",139.174884281838,0.782302576904413,209.65202454728,0.310208190102763,0.233294715542767,-0.317614823951223,-0.45608245360581,NA,NA,8,-86.564753639858,191.41522156543,5.42951682117106,0.0115574101549973
"48",210.886404420721,0.927452710759955,316.555888286773,0.175228472322779,0.13204539886884,-0.321143693319482,-0.201470239982719,NA,-0.542080505656243,9,-85.2856068290477,191.474439464547,5.48873472028779,0.0112202238800198
"32",126.254075739105,0.84375103056725,189.585436768261,0.123614916600817,0.185242920650214,-0.0942725890494703,-0.301326159268601,0.506486337994008,NA,9,-85.4129625354562,191.729150877364,5.74344613310473,0.00987851450927134
"64",177.466494871148,0.940862838624844,266.255015907862,0.0634872858852735,0.114630531792981,-0.160663385906466,-0.125801019369655,0.381203864669773,-0.440699793533468,10,-84.6189014012433,192.844360179536,6.85865543527655,0.00565622945422367
