"","p(Int)","lam(Int)","p(camdays)","lam(ndvi)","lam(npp)","lam(rad)","lam(water)","lam(ndvi:rad)","lam(ndvi:water)","df","logLik","AICc","delta","weight"
"9",5.58263488651665,1.95909590157889,6.90365467596681,NA,NA,NA,-0.191128202218552,NA,NA,5,-189.633477354403,390.176045617898,0,0.32145099894642
"2",5.48561207870498,1.94526813392501,6.62043869857646,0.105201149490985,NA,NA,NA,NA,NA,5,-190.075042495237,391.059175899565,0.88313028166732,0.206702379272824
"11",5.58781486307432,1.95630231478979,6.91053772362553,NA,0.0749164983468103,NA,-0.226890995669257,NA,NA,6,-189.508761446611,392.30983058553,2.13378496763266,0.110603599569244
"12",5.31990441145405,1.95915098888089,6.69161456693178,0.238942513282109,0.10222972210245,NA,-0.34952099097169,NA,NA,7,-188.597691261809,392.945382523618,2.76933690572014,0.0804935184753618
"4",5.48566709540756,1.94578885936211,6.62346805609958,0.105601370764218,-0.00663436841167299,NA,NA,NA,NA,6,-190.07386416756,393.440036027428,3.26399040953066,0.0628562211007779
"14",5.33617470789254,1.96225623391196,6.69689662419815,0.222915747423114,NA,0.0113062127085641,-0.286419904960902,NA,NA,7,-188.857486287442,393.464972574884,3.28892695698687,0.0620773780345957
"44",5.2980718536657,1.90329595151351,6.78910505379541,0.294326759164148,0.156472703735094,NA,-0.507028154697987,NA,0.147200124297374,8,-188.217155731904,394.720025749523,4.54398013162557,0.0331437795142875
"30",5.27576663053772,1.91413964615287,6.74580754649182,0.248008187733651,NA,-0.0741648633668188,-0.300290692812685,-0.15222893889927,NA,8,-188.473981496954,395.233677279623,5.05763166172551,0.0256368119999419
"22",5.43427655155268,1.90313472734628,6.6586181495797,0.134954132042377,NA,-0.0461741197707622,NA,-0.131238547319446,NA,7,-189.784583397047,395.319166794095,5.1431211761971,0.0245640632190553
"16",5.32266389847382,1.95766047906059,6.68800930759568,0.250287733709083,0.105093575965977,0.0264338796057725,-0.349835715030814,NA,NA,8,-188.587316158511,395.460346602737,5.28430098483938,0.0228898739182177
"32",5.25674018866784,1.90534773452737,6.74373604342494,0.281462851054474,0.116308216049323,-0.0658674325638583,-0.375103827215079,-0.165214114437109,NA,9,-188.132930325229,397.16908645691,6.99304083901228,0.0097408141134333
"48",5.29730364884939,1.90306829905508,6.79079514748382,0.291899728824963,0.156319203655835,-0.00702982015085193,-0.508441170915631,NA,0.148585093223279,9,-188.216441798185,397.336109402822,7.16006378492483,0.00896038527717046
"62",5.27579948683529,1.90806777410189,6.7601614493797,0.251142300818612,NA,-0.0753039456360594,-0.320179715825259,-0.142384472150255,0.0263140986797904,9,-188.461858270442,397.826942347336,7.65089672943867,0.00701041396984942
"24",5.43403796484911,1.90323451401548,6.65877843725077,0.134911678176582,-0.00115372527677002,-0.0463765872644353,NA,-0.131201414242784,NA,8,-189.784548063355,397.854810412424,7.67876479452633,0.00691340804483454
"1",18.2599441718683,1.73459967387699,8.83864666832084,NA,NA,NA,NA,NA,NA,4,-194.836506014025,398.270026953424,8.09398133552611,0.0056173187001838
"64",5.25115502205386,1.87847631899322,6.80006621319239,0.303190336064305,0.148918962285689,-0.0685194061415086,-0.478095052105834,-0.129351909911428,0.103563222596834,10,-187.973124151892,399.552805680832,9.37676006293481,0.00295785719846302
"5",16.5224325043793,1.73600133743954,8.10453193438935,NA,NA,-0.0474703091510965,NA,NA,NA,5,-194.79482346823,400.498737845551,10.3226922276535,0.00184319228228492
"3",19.4347373907692,1.73400270541588,9.44510510917667,NA,0.0332044865578509,NA,NA,NA,NA,5,-194.812873601269,400.534838111628,10.3587924937307,0.0018102208806556
"10",19.4316127382185,1.73389160672863,9.41755237582318,0.26895476175211,NA,NA,-0.204449039284986,NA,NA,6,-193.797940838729,400.888189369765,10.7121437518678,0.00151705846920224
"6",19.5666440872608,1.73857699988857,9.55811889082795,0.198711022125894,NA,0.0299440590119864,NA,NA,NA,6,-194.298732970361,401.88977363303,11.7137280151322,0.000919413888793837
"13",19.5326135879857,1.73278076020914,9.49828830631848,NA,NA,-0.0662450644112254,-0.102183197351932,NA,NA,6,-194.645033814737,402.582375321781,12.4063297038835,0.000650301138269389
"7",17.0245042736055,1.73528915409517,8.24752999200397,NA,0.0276748651600963,-0.0435025426458083,NA,NA,NA,6,-194.778716694353,402.849741081013,12.6736954631152,0.000568927304371813
"42",20.9459169968986,1.75267968175163,10.0942509352435,0.256393875767268,NA,NA,-0.172096713734106,NA,-0.0414887916879601,7,-193.768769562127,403.287539124255,13.1114935063573,0.000457077812298758
"8",19.4335483517247,1.73791675828682,9.41814173676704,0.19821001648279,0.0265762436041163,0.0338730968664982,NA,NA,NA,7,-194.282430980199,404.314861960398,14.1388163425005,0.000273470081852058
"15",19.5094099521685,1.73000262822018,9.48067755865356,NA,0.0731536988488861,-0.0620871249012033,-0.138697960285334,NA,NA,7,-194.543964923574,404.837929847148,14.6618842292505,0.000210536341634578
"46",20.7942327512657,1.75535953396422,10.0066625048321,0.27075356318374,NA,0.0361121946150114,-0.165524463976588,NA,-0.0485618768877799,8,-193.750718018575,405.787150322864,15.6111047049665,0.000130980445976914
