"","p(Int)","lam(Int)","p(camdays)","lam(ndvi)","lam(npp)","lam(rad)","lam(water)","lam(ndvi:npp)","lam(ndvi:rad)","lam(ndvi:water)","lam(npp:rad)","lam(npp:water)","lam(rad:water)","df","logLik","AICc","delta","weight"
"1",1.83798920662475,2.5574963879263,3.09608252576046,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,-195.837035358877,400.271085643126,0,0.176756057406727
"272",1.60773115063552,1.93586883037897,3.02152817301286,0.449020137366007,-2.35734946841877,-0.644829836102314,-0.729243788929927,NA,NA,NA,NA,1.25849250258819,NA,9,-190.028505715274,400.960237236999,0.689151593872793,0.125235351407558
"11",1.75329943949916,2.49925010114261,3.049576491109,NA,0.118909357040544,NA,-0.524584353502392,NA,NA,NA,NA,NA,NA,6,-194.380613405298,402.053534502904,1.78244885977762,0.0724970698616807
"271",1.80836134570256,2.04305844501404,3.17726618133493,NA,-1.95780840800842,-0.56045093280491,-0.489546417200571,NA,NA,NA,NA,1.02458850816623,NA,8,-192.101196207865,402.488106701445,2.21702105831878,0.0583383712651923
"74",1.58478154689887,2.58229057310016,2.88780646045812,0.236037023010444,NA,NA,-0.478185894428747,NA,NA,-0.166929850710398,NA,NA,NA,7,-193.587373615629,402.924747231258,2.65366158813231,0.0468963469002361
"268",1.643684317428,2.20534791428763,3.04823060836691,0.40845422481374,-1.26914532942864,NA,-0.665793559530496,NA,NA,NA,NA,0.717416302593522,NA,8,-192.332273885747,402.950262057209,2.67917641408246,0.0463018708864507
"15",1.65392382689461,2.49800027981758,2.97480241810056,NA,0.121255257202649,-0.275481571423757,-0.595892612368425,NA,NA,NA,NA,NA,NA,7,-193.819403672732,403.388807345464,3.11772170233752,0.0371851587768576
"784",1.60217238615528,1.98503141700695,3.00237961933671,0.456156548745781,-2.40763617145474,-0.503388915704776,-0.645533559504077,NA,NA,NA,NA,1.27532539494055,0.258569362847741,10,-189.913153642987,403.432864663023,3.16177901989693,0.0363749759849283
"267",1.93312250522235,2.26881515009872,3.22670269317716,NA,-0.911657551100509,NA,-0.444521361067471,NA,NA,NA,NA,0.508361492910967,NA,7,-193.882283427687,403.514566855374,3.24348121224807,0.0349189607311852
"525",1.65540771648151,2.56084625544566,2.96689738810629,NA,NA,-0.12977655255043,-0.429483660796488,NA,NA,NA,NA,NA,0.236753663879757,7,-193.97632283763,403.70264567526,3.43156003213352,0.031784875364159
"192",1.54345344185135,3.20812205648171,2.88577422940321,0.78201489872848,1.30770273802155,1.65465299716214,-0.908351708784422,2.00274305189649,0.422898862598096,NA,5.38869415553909,NA,NA,11,-188.848522676018,404.097045352035,3.82595970890901,0.0260962263811353
"656",1.54457774719103,3.13806820993212,2.80119431321605,0.361230946902545,0.9370507864882,1.46237248423992,-0.882602623626974,NA,NA,NA,5.68775020524523,NA,-0.35426493680541,10,-190.395017436116,404.396592249281,4.12550660615489,0.0224663193999304
"78",1.53872313441978,2.56423600140714,2.81739645765232,0.223279635277044,NA,-0.270267772647908,-0.529115050090027,NA,NA,-0.163995469594404,NA,NA,NA,8,-193.083558991041,404.452832267796,4.18174662467004,0.0218433660658862
"7",1.748586616392,2.56435708375541,3.02761184953795,NA,-0.051108887885207,-0.166154134567115,NA,NA,NA,NA,NA,NA,NA,6,-195.599462258404,404.491232209116,4.22014656598969,0.0214279745910823
"76",1.57117741751347,2.53926174627859,2.8902383889666,0.291949896489859,0.143242045002295,NA,-0.651107653323469,NA,NA,-0.088354630679511,NA,NA,NA,8,-193.318554141304,404.922822568322,4.65173692519562,0.0172688122184572
"464",1.5819151968167,2.46242613750494,2.93226561808346,0.433047950362307,-1.37132221194062,0.430087578070295,-0.737650640233951,NA,NA,-0.0362239389597028,2.9265649728717,0.957580354245089,NA,11,-189.311021710796,405.022043421592,4.75095777846548,0.0164330029217853
"783",1.81249255530609,2.07271895739529,3.17361540370693,NA,-1.96843938018195,-0.480740568100276,-0.442979912411338,NA,NA,NA,NA,1.0253170833949,0.138381545935294,9,-192.066538449996,405.036302706443,4.76521706331721,0.0163162581557168
"38",31.2527565178891,2.22871298759503,20.4730574203939,0.031278980372897,NA,-0.0989128360387735,NA,NA,0.615048140350734,NA,NA,NA,NA,7,-194.768989825611,405.287979651222,5.01689400809533,0.0143869791407237
"332",1.63942877413169,2.24269764087858,3.02728024042926,0.387556677462695,-1.29286332050056,NA,-0.607936087933311,NA,NA,-0.0913341627093754,NA,0.717366755515344,NA,9,-192.258660964568,405.420547735588,5.14946209246182,0.0134642702536327
"527",1.65443325980179,2.52969751130781,2.96428310767558,NA,0.111533973611722,-0.188438569682523,-0.545309140208185,NA,NA,NA,NA,NA,0.149290935643637,8,-193.785746028737,405.857206343189,5.58612070006268,0.0108233974915784
"848",1.59901635423713,2.0009343251803,2.98612519622324,0.43767651725766,-2.42716123331161,-0.530662858058602,-0.618053878889878,NA,NA,-0.0655265501953214,NA,1.27761660953516,0.215092464425057,11,-189.872685810543,406.145371621086,5.8742859779598,0.00937107283272732
"46",20.6450670592522,2.19325345519024,10.2861779678577,0.115689642700464,NA,-0.157182548947926,-0.381373615910686,NA,0.589069415223173,NA,NA,NA,NA,8,-193.955228178161,406.196170642035,5.92508499890914,0.00913604954341544
"80",1.52612461469906,2.51764680776921,2.82411826210399,0.28534723027771,0.147894484318394,-0.279455546868445,-0.718260665989485,NA,NA,-0.0784814663124803,NA,NA,NA,9,-192.776293399206,406.455812604863,6.18472696173671,0.00802375963427916
"672",1.52861944150986,3.20685569075064,2.90718933304977,0.55372145485245,1.17718905775535,1.64443779089601,-0.968587232695211,0.797527239923896,NA,NA,6.10159614280185,NA,-0.267765547460699,11,-190.117046388584,406.634092777167,6.36300713404097,0.00733947275433011
"590",1.53672504768664,2.58923596579535,2.80854843331252,0.237495881658492,NA,-0.16523691255173,-0.498894037919236,NA,NA,-0.130848354522709,NA,NA,0.181170215293683,9,-193.046856978461,406.996939763374,6.72585412024739,0.00612172252409672
