"","p(Int)","lam(Int)","p(camdays)","lam(ndvi)","lam(npp)","lam(rad)","lam(water)","lam(ndvi:npp)","lam(ndvi:rad)","lam(ndvi:water)","lam(npp:rad)","lam(npp:water)","lam(rad:water)","df","logLik","AICc","delta","weight"
"9",0.873079544098197,3.06878574553631,3.35338502990932,NA,NA,NA,-0.497589862200164,NA,NA,NA,NA,NA,NA,5,-204.060523915699,419.030138740488,0,0.142945186078878
"4",1.10562920164073,2.88255205510102,3.31955529419212,-0.397771525684377,-0.41294638423298,NA,NA,NA,NA,NA,NA,NA,NA,6,-203.22497066125,419.742249014807,0.712110274318547,0.100123668355842
"11",0.89323748942983,3.01794567323353,3.33641471619182,NA,-0.318087688458203,NA,-0.407190445588598,NA,NA,NA,NA,NA,NA,6,-203.358252511081,420.00881271447,0.978673973981643,0.0876300745367048
"271",1.05147103986481,2.48781083455576,3.33098761728307,NA,-2.25164461729035,-0.416517110807601,-0.428306745126879,NA,NA,NA,NA,0.979100551327557,NA,8,-200.889503256773,420.064720799261,1.03458205877229,0.0852143812202735
"267",0.962874592371185,2.71150847239662,3.33311625122145,NA,-1.49085348646619,NA,-0.372734601682578,NA,NA,NA,NA,0.59944808830425,NA,7,-202.284786119366,420.319572238731,1.28943349824289,0.0750192309639714
"1",1.03354662102586,3.07135934771208,3.26758309712221,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,-205.921676828745,420.440368582862,1.41022984237367,0.0706223256223679
"13",0.894371871572861,3.05690042732712,3.35068853056428,NA,NA,-0.141207399603454,-0.535554935021739,NA,NA,NA,NA,NA,NA,6,-203.872765541966,421.037838776239,2.00770003575082,0.0523845250777633
"12",0.9945971194671,2.93375786002284,3.34723994808773,-0.27141731217108,-0.342480463152155,NA,-0.249269259450496,NA,NA,NA,NA,NA,NA,7,-202.893413334409,421.536826668818,2.50668792832971,0.040817759904606
"272",1.09159630134996,2.47926737510429,3.33512605842804,-0.148498268511362,-2.13122927661748,-0.423453286508752,-0.354220359633597,NA,NA,NA,NA,0.910325780349516,NA,9,-200.747033845205,422.397293496861,3.36715475637266,0.0265461270827013
"783",1.04829879596484,2.45400989167821,3.33802566008263,NA,-2.17966697736969,-0.503475649980007,-0.515413393288449,NA,NA,NA,NA,0.953922660817716,-0.180285405553377,9,-200.853422337455,422.610070481362,3.57993174087369,0.0238669670760761
