"","p(Int)","lam(Int)","p(camdays)","lam(ndvi)","lam(npp)","lam(rad)","lam(water)","lam(ndvi:npp)","lam(ndvi:rad)","lam(ndvi:water)","lam(npp:rad)","lam(npp:water)","lam(rad:water)","df","logLik","AICc","delta","weight"
"3",32.0747827111881,0.670830533831564,29.0721762016216,NA,-7.3446961618828,NA,NA,NA,NA,NA,NA,NA,NA,5,-114.36059551885,239.630281946791,0,0.0980050653648147
"7",34.5430841355821,0.254892988048394,30.827505977012,NA,-8.81198793763357,-0.707914188188629,NA,NA,NA,NA,NA,NA,NA,6,-113.281684437122,239.855676566551,0.22539461975984,0.0875597882973649
"267",34.3252994209356,-0.456307203241996,28.7014322605232,NA,-12.9381470200107,NA,-2.01349536764078,NA,NA,NA,NA,-14.3838227546859,NA,7,-112.119601058888,239.989202117776,0.35892017098476,0.0819049213861377
"783",1.99036500426052,-1.75213953638379,3.90357028247856,NA,-17.0412316255732,-1.75389832075363,-4.81422997888691,NA,NA,NA,NA,-20.7807314998561,-2.54684752363902,9,-109.622841515987,240.148908838425,0.51862689163363,0.0756188596931243
"15",32.0801100750118,-0.056626626780179,29.3170001439182,NA,-9.54544004679424,-0.85711590043753,-0.750150935573886,NA,NA,NA,NA,NA,NA,7,-112.710944862965,241.17188972593,1.54160777913887,0.0453411620828133
"9",0.754932690673241,2.92178402420921,4.34324040618918,NA,NA,NA,-1.37267375758151,NA,NA,NA,NA,NA,NA,5,-115.267754209562,241.444599328215,1.8143173814239,0.0395616602598188
"11",34.5353677721242,0.511785131404411,31.5127159857174,NA,-7.71590142457778,NA,-0.491536849152205,NA,NA,NA,NA,NA,NA,6,-114.092591442262,241.477490576832,1.84720863004051,0.0389163647457119
"4",40.3707936875853,0.595458154746536,36.2609489500739,-0.506839171221271,-7.0660910333646,NA,NA,NA,NA,NA,NA,NA,NA,6,-114.134730971818,241.561769635943,1.93148768915168,0.0373105198409407
"271",27.1020423401171,-0.577883327855582,24.0656567163696,NA,-12.8430539670592,-0.448384952415657,-1.77588411831843,NA,NA,NA,NA,-10.2647736350096,NA,8,-111.820272684852,241.926259655419,2.29597770862773,0.0310944799672518
"8",35.6126706558255,0.252855522840524,31.8886481718092,-0.198272695144852,-8.62340766087001,-0.671361121897317,NA,NA,NA,NA,NA,NA,NA,7,-113.238458480439,242.226916960877,2.5966350140859,0.0267544725551137
"1",1.1080704469221,3.1121808097326,4.23107940349454,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,-117.015462518102,242.627939961578,2.99765801478634,0.0218935080616952
"784",1.83744885530996,-1.16108262352259,4.03776325341881,-0.0837700657374669,-14.1373979826708,-1.60572546763615,-4.61947849171107,NA,NA,NA,NA,-18.415371379026,-2.47112548211752,10,-109.513859626609,242.634276630267,3.00399468347609,0.0218242518794786
"268",31.3777564334887,-0.48681316826443,20.7949038300566,0.0157704868277997,-13.1296807885918,NA,-2.08981894735896,NA,NA,NA,NA,-15.1405480540241,NA,8,-112.186995406831,242.659705099377,3.02942315258574,0.0215485297343495
"40",39.5707812486656,0.404719102844129,34.6535986925052,-0.525702343655176,-7.79487423180208,-0.393764494711903,NA,NA,0.664568819516431,NA,NA,NA,NA,8,-112.203790668476,242.693295622666,3.06301367587508,0.0211896388092118
"135",33.5240329628096,-0.0963177272833298,16.6599118388044,NA,-9.58214717922923,-1.24062699683836,NA,NA,NA,NA,-1.37543088881079,NA,NA,7,-113.571494506799,242.892989013597,3.26270706680629,0.0191761176296969
"332",37.0730020358877,-0.0423518845582995,29.0561429851208,-0.688390416939112,-12.2774725736269,NA,-1.44186839141682,NA,NA,-1.13587291541805,NA,-14.6004168960796,NA,9,-111.058155901335,243.019537609121,3.38925566232948,0.0180003523655087
"168",38.335537673303,-5.52115327381238,34.7297705288689,-0.571833020775167,-23.399306018854,-9.90944921488036,NA,NA,1.20466047510123,NA,-24.565872935685,NA,NA,9,-111.212344927736,243.327915661924,3.69763371513238,0.0154282818230532
"304",27.5267762028628,-0.29679206333587,16.5884330121612,-0.716021332273635,-12.4032937951459,0.177242354641652,-1.52083641132767,NA,0.990904047431664,NA,NA,-15.2767560142149,NA,10,-110.010520910197,243.627599197443,3.99731725065158,0.0132813465986068
"527",28.5818511279275,-0.0917595221458187,26.3492431252836,NA,-9.36528791819777,-0.973287013756107,-0.870331046886243,NA,NA,NA,NA,NA,-0.225396878435651,8,-112.698009539854,243.681733365423,4.05145141863201,0.0129266808119184
"16",31.5282331580003,-0.0568843583775113,28.8459987077042,0.0240070132436207,-9.56299491240091,-0.86086749019161,-0.76066447645373,NA,NA,NA,NA,NA,NA,8,-112.710604274506,243.706922834727,4.07664088793564,0.0127648936688816
"12",37.4262840002608,0.518050404728857,33.9272076846818,-0.329681094266114,-7.37109452202611,NA,-0.34493861913407,NA,NA,NA,NA,NA,NA,7,-114.019511263623,243.789022527245,4.15874058045387,0.0122515060771118
"20",37.5464160815022,0.646127323856323,33.3863635770493,-0.803516054179814,-7.31251562063961,NA,NA,-2.02835782020819,NA,NA,NA,NA,NA,7,-114.021420910932,243.792841821864,4.16255987507233,0.0122281323463917
"24",31.5606670305214,0.274367612303623,27.6580327264931,-0.769805308877337,-8.8363631605197,-0.705877962346942,NA,-2.66115799169067,NA,NA,NA,NA,NA,8,-112.93699653983,244.159707365374,4.52942541858272,0.0101787931746881
"284",28.9165741238486,-0.495307010382432,23.2179583458526,-1.06999232011104,-13.4278697363465,NA,-1.78683674689448,-3.39968675262886,NA,NA,NA,-14.6007174366317,NA,9,-111.650287626968,244.203801060388,4.57351911359731,0.00995683856375098
"399",25.9958899942433,0.163911389800447,22.670235316174,NA,-11.0530464563098,0.817239815859665,-1.79813311567946,NA,NA,NA,3.23308679579703,-10.8328288280957,NA,9,-111.781284321582,244.465794449615,4.83551250282386,0.00873434463520366
"432",38.985339995744,-6.55456697956987,33.4099132730432,-1.00803374229504,-27.9978817204654,-10.2174372192374,-1.30662416644659,NA,1.61771355335873,NA,-26.7363723393064,-13.2927686588441,NA,11,-109.053943977073,244.507887954145,4.87760600735407,0.0085524360547722
"143",30.9902590223339,-0.06964469370065,19.3067791817925,NA,-9.45001216221377,-0.814073264738571,-0.675051417180078,NA,NA,NA,0.0779604592897864,NA,NA,8,-113.115316443418,244.51634717255,4.88606522575932,0.00851633898459366
"272",28.0349313182415,-0.589218649810515,24.6683739191763,0.084159528987096,-12.8992700787945,-0.475403056958325,-1.80857018234894,NA,NA,NA,NA,-10.2413567836419,NA,9,-111.818663667574,244.5405531416,4.91027119480921,0.00841388710303447
"136",35.7055978845149,-0.218458515376673,32.1567794901708,-0.195831828785366,-9.80216982719558,-1.47106134205661,NA,NA,NA,NA,-2.10686296583288,NA,NA,8,-113.211286181721,244.708286649156,5.07800470236498,0.00773702164800995
"5",1.15561532399944,3.09348790272975,4.26179565385374,NA,NA,-0.186879666532271,NA,NA,NA,NA,NA,NA,NA,5,-116.919295129293,244.747681167677,5.11739922088574,0.00758611463307379
"848",22.9250272002346,-1.67878960955165,12.4898286156735,-1.1149981051239,-15.8685127338061,-1.91537113132114,-4.15322618908261,NA,NA,-1.55978341622161,NA,-23.1114901447849,-3.28112246116671,11,-109.246123012816,244.892246025631,5.26196407883984,0.00705712062839459
"368",33.4986132525929,-0.0581125492043426,22.2564894671925,-1.16965909202035,-12.265616599796,0.117862213195708,-1.07170250310071,NA,0.88059880544794,-0.897432919999419,NA,-15.1472272638595,NA,11,-109.267892491631,244.935784983261,5.30550303646987,0.00690515094242738
"48",35.1871495740562,0.246912300762072,31.2601875744962,-0.350676508255923,-8.40137554896176,-0.498295838021417,-0.329856169256923,NA,0.573411380403391,NA,NA,NA,NA,9,-112.097698255092,245.098622316635,5.46834036984376,0.00636522117358736
"348",24.2540098507523,-0.0895347055300963,15.9245051014949,-1.4870005619572,-12.4742948190363,NA,-1.17491642872098,-2.5025800811339,NA,-1.07084804417527,NA,-13.9250940356245,NA,10,-110.764550839556,245.135659056162,5.50537710937084,0.00624843236098951
"911",41.0052411493941,-2.3324806830625,34.6373424899142,NA,-17.0511765861016,-2.22431932792916,-4.57176910734853,NA,NA,NA,-0.922176791966464,-20.5249574142366,-2.92349089667115,10,-110.775223080769,245.157003538587,5.52672159179605,0.00618210215915414
"56",21.0604991816483,0.456093756005668,18.6286553345975,-0.281435224027871,-7.51350135861871,-0.357177601929284,NA,0.927823643770234,0.749459514003122,NA,NA,NA,NA,9,-112.312601644381,245.528429095214,5.89814714842242,0.0051343106578337
"336",40.1678777114968,-0.198751399828449,32.2313567658617,-0.536801081528812,-12.5743643069855,-0.263641338596647,-1.43500773669114,NA,NA,-1.0237901048607,NA,-12.7814197757982,NA,10,-110.982956631558,245.572470640166,5.94218869337473,0.00502248493421304
