"","p(Int)","lam(Int)","p(camdays)","lam(ndvi)","lam(npp)","lam(rad)","lam(water)","lam(ndvi:npp)","lam(ndvi:rad)","lam(ndvi:water)","lam(npp:rad)","lam(npp:water)","lam(rad:water)","df","logLik","AICc","delta","weight"
"135",1.99888690168837,3.92989140540604,5.16167403542998,NA,0.892100814296513,2.05119376986035,NA,NA,NA,NA,7.79292822609131,NA,NA,7,-179.295856771042,374.341713542085,0,0.105570664977955
"5",3.30889047172186,2.90810649783416,6.69396720422568,NA,NA,-0.684337582464161,NA,NA,NA,NA,NA,NA,NA,5,-182.183171008668,375.275432926426,0.933719384341373,0.0661894342506366
"6",2.04787003063994,2.92296904542658,5.25154003673812,0.277459091549928,NA,-0.634062229823144,NA,NA,NA,NA,NA,NA,NA,6,-181.442458063023,376.177223818354,1.83551027626964,0.0421664719109493
"136",1.8250121010689,3.88050202453218,4.97429692249232,0.0857473175813171,0.839944006889496,1.93686886476637,NA,NA,NA,NA,7.37257077345329,NA,NA,8,-179.231763918808,376.749242123331,2.40752858124637,0.0316778040610109
"143",1.9911864288591,3.92274074386564,5.14329422115647,NA,0.873012985716392,2.06831303633414,0.0766694171739715,NA,NA,NA,7.79416059704674,NA,NA,8,-179.249223108115,376.784160501944,2.44244695985896,0.0311295353735228
"848",1.46695822419216,2.31019516403126,4.58574547007836,0.146111412139479,-4.54302162945585,-0.529824120375229,0.739042438066877,NA,NA,-0.572034860665638,NA,2.09184656580884,1.07034375997466,11,-175.237673319919,376.875346639839,2.53363309775403,0.0297421130723824
"74",1.52777130726234,3.16603864225785,4.63084915478871,0.356942090490831,NA,NA,-0.112363999168533,NA,NA,-0.593134853397312,NA,NA,NA,7,-180.693104896169,377.136209792339,2.79449625025416,0.0261051448027838
"1",1.90334654905922,3.04128590689067,4.98531026289658,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,-184.270839740126,377.138694405625,2.79698086353994,0.026072734344014
"24",1.77083443278664,2.93214583255399,4.90973536887622,-0.411685870457667,-0.676854392196944,-0.509600600757439,NA,-2.82170554190213,NA,NA,NA,NA,NA,8,-179.541566797656,377.368847881027,3.02713433894201,0.0232385693305214
"20",1.45924351479135,3.03434276449955,4.52481515822971,-0.463280613934009,-0.815482535508113,NA,NA,-3.57231464126623,NA,NA,NA,NA,NA,7,-180.834971092955,377.419942185909,3.07822864382467,0.0226524092969562
"7",3.2458635848034,2.90536224555788,6.62593548333999,NA,-0.0895533435939982,-0.694407230606228,NA,NA,NA,NA,NA,NA,NA,6,-182.096456430116,377.485220552539,3.14350701045447,0.0219249889372063
"288",1.76539097963551,2.07236209528231,4.90312016071698,-0.426707564899619,-4.86666925575098,-0.957980101429949,0.268889682001431,-3.43088932631039,NA,NA,NA,1.96862810910708,NA,10,-176.959785709763,377.526128796576,3.18441525449117,0.0214810878182351
"13",3.14603115559347,2.90247912275993,6.49292625923155,NA,NA,-0.675801083344116,0.0968890438316857,NA,NA,NA,NA,NA,NA,6,-182.129384244304,377.551076180917,3.20936263883192,0.021214803567845
"783",1.63706957202788,2.21563391130664,4.74169063801733,NA,-4.18008198044853,-0.764566203582482,0.869594441925498,NA,NA,NA,NA,1.91680804556604,0.988334118840921,9,-178.360926195018,377.625078196487,3.28336465440231,0.0204441793110986
"38",1.70613949330898,2.98014013788039,4.82434068160584,0.230450817685208,NA,-0.472016962139921,NA,NA,0.227388803435764,NA,NA,NA,NA,7,-180.94459679513,377.639193590259,3.29748004817458,0.020300398468062
"525",1.88741937036146,3.02442852065036,5.01888788637116,NA,NA,-0.431122605949232,0.36255823363715,NA,NA,NA,NA,NA,0.658056438064787,7,-180.97230339054,377.69460678108,3.35289323899502,0.0197456639303667
"2",1.40646528908859,3.0531307528729,4.47827647229734,0.309613729459478,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,-183.462258781762,377.833608472616,3.49189493053098,0.0184199271088575
"78",2.07044945838535,3.06816550666735,5.2837645489333,0.332005121175514,NA,-0.400777569990448,-0.139400685807382,NA,NA,-0.495592282461221,NA,NA,NA,8,-179.917031582864,378.119777451441,3.77806390935666,0.0159641979076713
"208",1.82473522015026,3.98468639155535,4.97611470402634,0.139530565375069,0.81003124102524,2.13018199373348,-0.0557858906756711,NA,NA,-0.503378739872253,7.26240781135471,NA,NA,10,-177.341749965186,378.290057307421,3.94834376533606,0.0146612602246031
"399",2.40989889967809,3.37719731760848,5.58576612972153,NA,-1.51239915991489,1.50045732858878,0.183686152251898,NA,NA,NA,7.22539214806159,1.12436813569492,NA,9,-178.696336360116,378.295898526683,3.95418498459884,0.0146185028759382
"464",1.80648649932079,3.16573196210245,4.97787654205788,0.28754772727662,-2.38338193473121,1.19408307194338,0.107112739848499,NA,NA,-0.56908004089756,5.56746673234554,1.44451019585342,NA,11,-175.948623854319,378.297247708638,3.95553416655326,0.0146086446912928
"590",1.67322128536992,3.17688712264924,4.80014831510158,0.102638656663967,NA,-0.149196519406337,0.235104644324332,NA,NA,-0.493012278718507,NA,NA,0.761829911047139,9,-178.755370252253,378.413966310958,4.07225276887351,0.0137804945577606
"8",2.00489689203422,2.92059988750017,5.20522468434942,0.278520520788096,-0.0867176221708235,-0.643221593879123,NA,NA,NA,NA,NA,NA,NA,7,-181.3553777812,378.4607555624,4.11904202031536,0.0134618468997625
"352",4.06225837951211,2.09853479410199,7.61441711052111,-0.289073974945396,-4.84656727779197,-0.86558844355942,0.178363363757448,-2.69073488786048,NA,-0.463264898775203,NA,2.03256508151812,NA,11,-176.053199860282,378.506399720563,4.16468617847863,0.0131580988302122
"152",1.72506925729666,3.51786916233278,4.88354468330379,-0.233612433756318,0.12034447115897,0.996658144558687,NA,-1.71377897666778,NA,NA,4.43006137757086,NA,NA,9,-178.824775153869,378.55277611419,4.21106257210505,0.0128564965651746
"14",2.03752215212286,2.91917845957678,5.23479644321771,0.273205051256254,NA,-0.625494448616159,0.0533257331125545,NA,NA,NA,NA,NA,NA,7,-181.421101138713,378.592202277427,4.25048873534223,0.0126055371180559
"864",1.7055734169041,2.15293603179066,4.93542647897779,-0.0685313271942026,-5.30280900775296,-0.65558240545345,0.596018541692796,-1.2889130540015,NA,-0.54148710353649,NA,2.35026273187608,0.810440543026205,12,-174.863918501741,379.015972596702,4.67425905461749,0.0101986056666931
"110",1.69207946795507,3.11386384760009,4.82090291145473,0.266955640029948,NA,-0.24822313200447,-0.19544746590564,NA,0.264592286400818,-0.463368616172568,NA,NA,NA,9,-179.17553875966,379.254303325771,4.91258978368643,0.00905290451465996
"144",1.82083576269535,3.87413913187375,4.96146790856623,0.0876608788452707,0.82149613173934,1.95767038302473,0.0768757247234315,NA,NA,NA,7.37856195376465,NA,NA,9,-179.182459388506,379.268144583464,4.92643104137943,0.00899046901817621
"9",1.91183716872633,3.03155792168544,4.98207259972089,NA,NA,NA,0.104722695759634,NA,NA,NA,NA,NA,NA,5,-184.200574154785,379.310239218661,4.96852567657663,0.00880322120582973
"168",1.88578551380147,3.93203621266041,5.04958479102334,0.0795019888281411,0.907524334838553,2.0719783442035,NA,NA,-0.059451405588906,NA,7.89401035367376,NA,NA,9,-179.207989045561,379.319203897574,4.97749035548935,0.00876385048246677
"3",1.86380900590514,3.04025749470378,4.94388949008558,NA,-0.0741217301038713,NA,NA,NA,NA,NA,NA,NA,NA,5,-184.22249836291,379.354087634911,5.01237409282658,0.00861231790058499
"655",1.95408872928349,3.90222527684621,5.10097167814277,NA,0.838331466443036,2.00974332871571,0.101560766818838,NA,NA,NA,7.56392063220509,NA,0.0502419591871572,9,-179.245744995259,379.39471579697,5.05300225488492,0.00843913159282281
"76",1.51926139718975,3.16849177872986,4.62124525777345,0.340324865811122,-0.110309463800108,NA,-0.0477326865225906,NA,NA,-0.614033114345934,NA,NA,NA,8,-180.589229915124,379.464174115963,5.12246057387813,0.00815107851781654
"92",1.55823539425764,3.10500739114725,4.65530289335781,-0.290626949496568,-0.633399802781869,NA,-0.0808710696209046,-2.60114576338907,NA,-0.510352467110821,NA,NA,NA,9,-179.296449275996,379.496124358443,5.15441081635828,0.00802189862970658
"976",1.52066302123238,2.65196880323248,4.64770684052112,0.148338492613529,-3.80575396974923,0.17424311573307,0.594840908665048,NA,NA,-0.573834347213825,2.07652975958851,1.87360916825976,0.852983246821234,12,-175.116635535143,379.521406663505,5.17969312142071,0.00792113083792847
"527",1.74589451360023,3.02948047838794,4.85959453188786,NA,-0.190713657991714,-0.402325642385626,0.447992712507552,NA,NA,NA,NA,NA,0.733757565251479,8,-180.658490016458,379.602694318631,5.26098077654649,0.00760564055754077
"15",3.08354273751012,2.89520632034958,6.42220442426095,NA,-0.127322072161731,-0.688786876165402,0.150125320343447,NA,NA,NA,NA,NA,NA,7,-181.981860322548,379.713720645096,5.37200710301101,0.00719493270595542
"272",1.82630481632774,2.13557706920724,4.99608222617567,0.391355430280316,-3.73377435774928,-1.01749185115362,0.365084358154939,NA,NA,NA,NA,1.75303429852245,NA,9,-179.443519173524,379.790264153499,5.44855061141408,0.00692477273305816
"56",1.90267340210744,2.8982827807095,5.07255490064791,-0.521780776865001,-0.783939396625168,-0.57397116806549,NA,-3.351734975358,-0.115991572326564,NA,NA,NA,NA,9,-179.475260810421,379.853747427294,5.51203388520941,0.00670842095594006
"271",3.04070763387187,2.26644920626714,6.37283998501391,NA,-3.10881223843148,-0.988870697112209,0.408588344801064,NA,NA,NA,NA,1.43578798184093,NA,8,-180.791983577566,379.869681440846,5.52796789876129,0.00665518725891644
"896",1.67771692738103,2.21243809065642,4.82294201674923,-0.581562046832622,-5.60614492450375,-0.591233115479746,1.31853640877069,-2.62088541146344,-0.672831116703857,-0.60222176976107,NA,2.28956167430142,1.92419904185261,13,-173.798089140353,379.872040349672,5.53032680758747,0.00664734239617239
"28",1.46718073818233,3.03171938011888,4.52970824455138,-0.454186373368873,-0.825189368657637,NA,0.0748065686366994,-3.52126633491093,NA,NA,NA,NA,NA,8,-180.797984033505,379.881682352724,5.53996881063932,0.00661537267329862
"40",1.6572544734605,2.97965009985521,4.77189221246959,0.230199195516091,-0.0935506678701284,-0.478669492495417,NA,NA,0.232008596672091,NA,NA,NA,NA,8,-180.842504293572,379.970722872859,5.62900933077401,0.00632731435442271
"32",1.76814944447437,2.93192467090058,4.90549305970853,-0.411471240660569,-0.67976408942549,-0.507362835239714,0.0145802614504926,-2.81735479863855,NA,NA,NA,NA,NA,9,-179.540192835202,379.983611476855,5.64189793477038,0.0062866703317225
"480",1.89367473717224,2.61910141177524,5.06436376626419,-0.0843126879016261,-3.93307016303458,0.202815300403363,0.147929403276381,-1.83395642728673,NA,-0.492145259393493,2.88986922641624,1.85223736804564,NA,12,-175.365539562341,380.019214717903,5.67750117581829,0.00617574764316908
"880",1.71057883026399,2.5885994992825,4.94147066043327,0.0133965466233413,-3.17301618207295,-0.357510685179778,0.858665517706353,NA,-0.226331800372042,-0.590732467889228,NA,1.41192011961658,1.45657628357004,12,-175.371608743086,380.031353079393,5.68963953730804,0.00613837942642337
"10",1.41621578023505,3.04349486563765,4.48184395665571,0.313456475446882,NA,NA,0.10582185881115,NA,NA,NA,NA,NA,NA,6,-183.371187628884,380.034682950076,5.69296940799137,0.00612816792467971
"348",1.42270196140497,2.68994631068624,4.49086997566641,-0.210707784328917,-2.98950671563116,NA,0.093071174012054,-2.80888928061163,NA,-0.594908164334212,NA,1.1205798986588,NA,10,-178.246328072086,380.099213521222,5.75749997913704,0.00593359666473759
"4",1.39409065818089,3.05100927509793,4.46690130590918,0.309924173056822,-0.0694928471685979,NA,NA,NA,NA,NA,NA,NA,NA,6,-183.416798421081,380.125904534471,5.78419099238596,0.00585493586273917
"784",1.56777314847968,2.18574090950094,4.67865891534342,0.116034933624538,-4.20416201382189,-0.788149290801213,0.807946841567178,NA,NA,NA,NA,1.93638288037556,0.854282104863407,10,-178.272058471278,380.150674319604,5.80896077751976,0.00578287029440299
"800",1.69525509638479,2.11023706288856,4.81944366456256,-0.415259582389102,-4.84523868266641,-0.885017095810994,0.40509954128732,-3.080773827273,NA,NA,NA,1.9788998388143,0.255587662493047,11,-176.88128653085,380.162573061699,5.82085951961443,0.00574856799303975
"320",1.86811880308753,2.03245565111573,5.02599794697029,-0.536690862632064,-5.01764652030228,-1.02764730652735,0.309520705253593,-4.00495677044637,-0.13228180220109,NA,NA,1.98057702844351,NA,11,-176.883421463249,380.166842926497,5.82512938441261,0.00573630828046842
"400",1.81756137890089,3.05921346165849,4.97710505362864,0.200691535260423,-2.02153435953788,0.966545129523054,0.259092276932243,NA,NA,NA,5.44155799168248,1.25910830006744,NA,10,-178.295467375792,380.197492128633,5.85577858654875,0.00564907178395682
"592",1.60531882511487,3.18958312143927,4.72179933488887,0.0629009901868152,-0.202060949368909,-0.112305276739935,0.362818385010328,NA,NA,-0.509772495489781,NA,NA,0.867672970042876,10,-178.39996525941,380.406487895868,6.0647743537836,0.00508855226104258
"384",1.78030115242492,2.14219670447462,4.93176043147152,-0.100841699401216,-4.95732441806119,-0.781725248270519,0.147023286456296,-2.16407099097925,0.111825171707337,-0.483669345498288,NA,2.14211474072971,NA,12,-175.568112024286,380.424359641791,6.08264609970678,0.00504328416069688
"184",2.08723407701839,3.67403800698644,5.28896901246445,-0.451420576619884,0.170118805952132,1.49383172911237,NA,-2.65149804572416,-0.296225074844553,NA,6.36913236828176,NA,NA,10,-178.441794113297,380.490145603643,6.14843206155803,0.00488009412765019
"416",1.93765415928687,2.17603317473348,5.01371954591602,-0.394268181532812,-5.16103662379638,-0.484532576848502,0.284954315844095,-3.32622009294687,NA,NA,1.53626470131557,2.20299366842842,NA,11,-177.049569757493,380.499139514985,6.1574259729004,0.00485819783092481
"80",2.03808824564096,3.0686295340857,5.24630706636348,0.316466826420695,-0.105276673015926,-0.403315429991099,-0.0779903676325458,NA,NA,-0.510371205021478,NA,NA,NA,9,-179.807058003504,380.51734181346,6.17562827137516,0.0048141832429215
"46",1.46373408154737,2.99309828755315,4.66863070344182,0.261027498052122,NA,-0.495868778962981,-0.00882165811590884,NA,0.197193738415479,NA,NA,NA,NA,8,-181.185579429065,380.656873143845,6.31515960176057,0.00448976668894343
"332",1.36241757937713,2.81521711472286,4.44431345199831,0.413911026136599,-2.02741448606408,NA,0.0762633309989434,NA,NA,-0.684084672212672,NA,0.928736495277956,NA,9,-179.89385764563,380.690941097712,6.34922755562701,0.00441393579116949
"304",1.58373577195988,2.14276464507668,4.69785280077863,0.321884178974947,-4.07217714677575,-0.866015723083772,0.259042685270481,NA,0.321868181925315,NA,NA,1.92902245187522,NA,10,-178.561381177962,380.729319732974,6.38760619088919,0.00433004287349926
"16",1.97679991038229,2.91344435015126,5.16527506427938,0.270703535141872,-0.110142650011793,-0.631557124226084,0.093097490721808,NA,NA,NA,NA,NA,NA,8,-181.298178675085,380.882071635885,6.54035809380053,0.00401164544277471
"720",1.74453084195532,3.89966443983827,4.88110985567238,0.0919783596791533,0.657107344621897,1.88291126042506,0.0725319572345199,NA,NA,-0.504791028795544,6.28258386118998,NA,0.257141108765652,11,-177.264714560154,380.929429120309,6.58771557822405,0.0039177705305437
"96",1.96275405103504,3.01669043936727,5.14579640467566,-0.279691946653144,-0.567781719329834,-0.36327013813368,-0.0913345535973665,-2.28676927757835,NA,-0.400277977334847,NA,NA,NA,10,-178.670136020636,380.946829418322,6.60511587623716,0.00388383318719334
"622",1.72391733050128,3.19518885289437,4.86265215179625,0.0354878274336438,NA,-0.132418282063942,0.43350227192805,NA,-0.161377000141538,-0.514499144451232,NA,NA,1.09147812901374,10,-178.697547595024,381.001652567098,6.6599390250131,0.00377881710852385
"224",1.82801898916103,3.90927610180969,4.9783171106279,0.0437677633652857,0.65057038493142,1.9527529143941,-0.0632985098484364,-0.444860775775864,NA,-0.487740603757353,6.71266081729546,NA,NA,11,-177.310537036168,381.021074072337,6.67936053025232,0.00374229954386937
