"","p(Int)","lam(Int)","p(camdays)","lam(ndvi)","lam(npp)","lam(rad)","lam(water)","lam(ndvi:npp)","lam(ndvi:rad)","lam(ndvi:water)","lam(npp:rad)","lam(npp:water)","lam(rad:water)","df","logLik","AICc","delta","weight"
"7",0.912583705751466,-1.88845118525133,3.88014324729367,NA,-8.69140042140363,-2.18766294814009,NA,NA,NA,NA,NA,NA,NA,6,-43.4712889128724,100.234885518053,0,0.0882938860755279
"527",1.0610716898393,-4.30634145593992,3.70018000595818,NA,-14.9402857652814,-4.95397388411223,3.26266291784196,NA,NA,NA,NA,NA,4.72620807883846,8,-41.0609931837668,100.407700653248,0.172815135195407,0.0809849469474629
"40",0.760128112167261,-3.56888762673407,3.40076763424072,1.35993584367191,-11.3619710108985,-4.42995472873197,NA,NA,2.57577729559717,NA,NA,NA,NA,8,-41.3932987460348,101.072311777784,0.837426259731245,0.0580879205880293
"135",1.11175402593825,-0.193684765657159,4.03414355718843,NA,-4.34356739756498,1.11389268750868,NA,NA,NA,NA,10.2930305473178,NA,NA,7,-42.8029548966867,101.355909793373,1.12102427532086,0.0504084453336992
"56",22.5915114873515,-4.36737929564294,24.7833124579397,2.6660882492918,-11.4983992836296,-4.72669814781206,NA,6.66079784128285,4.18546046852204,NA,NA,NA,NA,9,-40.383669181638,101.670564169728,1.435678651675,0.0430702084567814
"592",0.698069432132481,-4.35700735934046,3.60194930249479,-0.287028451586018,-14.6504883658532,-5.18850906804652,4.03614766242476,NA,NA,-1.27048709836488,NA,NA,7.07967529807743,10,-39.2241177411186,102.054792859286,1.81990734123377,0.0355420745837128
"15",1.13761004476854,-2.22248507393824,3.96303236025207,NA,-9.91428296917697,-2.33500125998448,0.396658501747481,NA,NA,NA,NA,NA,NA,7,-43.19078960266,102.13157920532,1.89669368726746,0.034203364663779
"8",0.718078864956607,-2.05460374604658,3.82628178101384,0.301811318097327,-9.57185423056209,-2.36108071307447,NA,NA,NA,NA,NA,NA,NA,7,-43.2023984379208,102.154796875842,1.91991135778912,0.0338085992547034
"5",0.672549348439702,-0.0242296883596176,3.67984111918666,NA,NA,-1.27876989771953,NA,NA,NA,NA,NA,NA,NA,5,-45.7785316882127,102.466154285516,2.2312687674637,0.0289345528444908
"783",1.15565819658898,-4.36919955511565,3.7894794775032,NA,-15.1264755502415,-4.93898234314585,3.46552471905861,NA,NA,NA,NA,1.48098722286322,4.7771650022776,9,-41.0069953193838,102.917216445219,2.68233092716673,0.0230924425407807
"528",1.22624887886969,-4.29351271785771,3.65640036760055,-0.137607234966296,-14.7764083217119,-4.90077314741465,3.3230986358664,NA,NA,NA,NA,NA,4.84396007731097,9,-41.0352988115274,102.973823429506,2.73893791145383,0.0224480086594955
"655",1.03235204082335,-4.64232394177189,3.67554372607246,NA,-15.8808784256712,-5.52551473714828,3.36459466450928,NA,NA,NA,-1.54550008935821,NA,4.89007009264491,9,-41.0567745547897,103.016774916031,2.78188939797849,0.0219710607253236
"1",0.467713602698127,0.375211426056392,3.48251527851274,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,-47.3688219797599,103.334658884893,3.09977336684044,0.0187423221163322
"143",1.42182505779888,-0.455081238317987,4.20640395595177,NA,-5.13506030292014,1.08748526492222,0.328944031944183,NA,NA,NA,10.591521755486,NA,NA,8,-42.5533162424481,103.392346770611,3.15746125255797,0.0182094417778458
"168",0.835260031412152,-2.22999632947491,3.42895629125042,1.29971763071522,-7.30973581781289,-2.13661121213373,NA,NA,2.50417745668829,NA,7.06554033384957,NA,NA,9,-41.2881434407686,103.479512687989,3.24462716993632,0.0174328660822254
"608",0.795431957699406,-4.51961250294653,3.78302401505033,0.78339463417349,-15.5276155828696,-5.01507257215176,4.46046750247074,6.04811934268117,NA,-1.39398459998557,NA,NA,7.77782341131241,11,-38.5513088708997,103.502617741799,3.26773222374683,0.017232631263793
"128",0.447008770036372,-3.76961836946319,3.35486038266547,4.1440197190592,-11.2839945764209,-4.54094959758724,-0.278918093678378,12.0975282170736,4.23574475206455,-1.33493582073103,NA,NA,NA,11,-38.6016920906263,103.603384181253,3.36849866320009,0.0163859053141867
"48",0.805880471475758,-3.59642862527697,3.40018752291313,1.3129189956406,-11.5800611582945,-4.38114466832252,0.091677925521153,NA,2.4756738206227,NA,NA,NA,NA,9,-41.3768441896446,103.656914185741,3.4220286676882,0.0159531536549627
"136",0.937187020376828,-0.383513174836484,3.9616042700082,0.191067971918794,-5.01123956842415,0.781587778722795,NA,NA,NA,NA,9.62134942449946,NA,NA,8,-42.7043566533629,103.69442759244,3.45954207438757,0.0156567138916341
