"","p(Int)","lam(Int)","p(camdays)","lam(ndvi)","lam(npp)","lam(rad)","lam(water)","lam(ndvi:npp)","lam(ndvi:rad)","lam(ndvi:water)","lam(npp:rad)","lam(npp:water)","lam(rad:water)","df","logLik","AICc","delta","weight"
"5",1.02669370693332,3.57054698500985,2.47051614280735,NA,NA,0.27449270630847,NA,NA,NA,NA,NA,NA,NA,5,-283.575694004682,578.060478918455,0,0.22559951152887
"6",0.993691367681126,3.58096006778496,2.45159615227786,0.0916224761864267,NA,0.307275350457687,NA,NA,NA,NA,NA,NA,NA,6,-283.05760992267,579.407527537649,1.34704861919363,0.115035070738598
"7",1.00455944166983,3.5730894584493,2.46187071812579,NA,-0.0722875935441966,0.263520901862793,NA,NA,NA,NA,NA,NA,NA,6,-283.24748053745,579.787268767207,1.72678984875256,0.0951416115931762
"13",1.02178953912037,3.57291877144151,2.47340663367993,NA,NA,0.268481643016119,-0.0241297069416327,NA,NA,NA,NA,NA,NA,6,-283.54959151061,580.391490713527,2.3310117950723,0.0703340093854034
"8",0.972511261175608,3.5835757847575,2.44434014337209,0.0922452773161364,-0.072385709184855,0.296369770527299,NA,NA,NA,NA,NA,NA,NA,7,-282.717827310545,581.18565462109,3.12517570263515,0.0472840724016447
"14",0.973618074436292,3.59014124817143,2.45793126956317,0.112127829956585,NA,0.296938517361113,-0.069828863383309,NA,NA,NA,NA,NA,NA,7,-282.855674695683,581.461349391366,3.4008704729107,0.0411953801570308
"38",0.997233576971075,3.58408188624469,2.45250927871319,0.0888181419133469,NA,0.313181393153667,NA,NA,0.0110541744558134,NA,NA,NA,NA,7,-283.050347754266,581.850695508532,3.79021659007731,0.0339080706856344
"135",0.999134607442751,3.62040400624329,2.46077871361802,NA,-0.0330219241345591,0.368331907201496,NA,NA,NA,NA,0.306326344596542,NA,NA,7,-283.187594987083,582.125189974166,4.0647110557112,0.0295595190768138
"15",1.00504965128295,3.57272737076619,2.46126217563503,NA,-0.0733988285726363,0.264315453394878,0.0039175941914734,NA,NA,NA,NA,NA,NA,7,-283.24686318254,582.243726365079,4.18324744662436,0.0278584862053099
"78",0.984363616233054,3.63086489063206,2.45997341579792,0.0916257127002739,NA,0.315312906080369,-0.0341457685393643,NA,NA,-0.102346401098771,NA,NA,NA,8,-282.192635362827,582.670985011368,4.61050609291271,0.0224998424723346
"525",1.0212249842461,3.58533931696423,2.47318595947473,NA,NA,0.293957065123454,-0.00620992896441083,NA,NA,NA,NA,NA,0.0514634034144427,7,-283.510824253478,582.771648506956,4.71116958850155,0.0213954131477098
"24",0.969993183167845,3.59617747841331,2.43449009988135,0.019368348686348,-0.136740826190759,0.306352900217951,NA,-0.321557699578234,NA,NA,NA,NA,NA,8,-282.338015159615,582.961744604945,4.90126568648964,0.0194554747998414
"271",0.969479713106086,3.47452934790115,2.44608448062796,NA,-0.622110465249846,0.183604117062488,0.0308675524412028,NA,NA,NA,NA,0.270084081259755,NA,8,-282.540932832364,583.367579950443,5.30710103198805,0.0158823882552537
"16",0.963295571855146,3.58899289926711,2.4495620424413,0.105194683404781,-0.0597681088883893,0.291779506073292,-0.0443309757608682,NA,NA,NA,NA,NA,NA,8,-282.646015289122,583.577744863958,5.51726594550314,0.0142981245978391
"136",0.97001403697991,3.61165223910081,2.44424343105186,0.0897775825069857,-0.0489461379310776,0.358399327190468,NA,NA,NA,NA,0.183152822286145,NA,NA,8,-282.696824972961,583.679364231637,5.61888531318232,0.0135897889442971
"40",0.97632269089646,3.58745621087231,2.44506197886277,0.0888112744433055,-0.0728760220543099,0.303527721997656,NA,NA,0.0135126523441413,NA,NA,NA,NA,8,-282.706882277916,583.699478841545,5.63899992309052,0.0134537972936606
"46",0.977740567931597,3.59219794981465,2.46008943163224,0.110066058399048,NA,0.301314903056238,-0.0692343541007167,NA,0.00777158126507202,NA,NA,NA,NA,8,-282.851975467838,583.989665221391,5.92918630293593,0.0116367501076359
"526",0.972973310270834,3.58785845934617,2.45772942999553,0.113681407969086,NA,0.292042988228304,-0.0742513626214936,NA,NA,NA,NA,NA,-0.0105598440378842,8,-282.854162411868,583.99403910945,5.93356019099531,0.0116113289938713
