"","p(Int)","lam(Int)","p(camdays)","lam(ndvi)","lam(npp)","lam(rad)","lam(water)","lam(ndvi:npp)","lam(ndvi:rad)","lam(ndvi:water)","lam(npp:rad)","lam(npp:water)","lam(rad:water)","df","logLik","AICc","delta","weight"
"5",1.23984635209974,1.44878329753183,3.07934372085177,NA,NA,0.32275659158965,NA,NA,NA,NA,NA,NA,NA,5,-144.34750719217,299.60410529343,0,0.158319838200615
"13",1.26337596726987,1.40896054274471,3.02299321648826,NA,NA,0.374185910716005,0.201399887068298,NA,NA,NA,NA,NA,NA,6,-143.777987234082,300.848282160472,1.24417686704203,0.0849895957277814
"1",1.36020744997551,1.50061722962529,3.14686957197427,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,-146.329776870547,301.256568666468,1.65246337303739,0.06929588970344
"525",1.2186051911381,1.51247164367314,3.01349845609736,NA,NA,0.56700543122175,0.307979676306487,NA,NA,NA,NA,NA,0.453774636862168,7,-142.803573331846,301.357146663692,1.75304137026149,0.0658972423191597
"7",1.25266684895169,1.43981482185113,3.08157705339706,NA,0.084885089241962,0.33948199551239,NA,NA,NA,NA,NA,NA,NA,6,-144.130747010737,301.553801713782,1.94969642035198,0.0597260975124441
"6",1.23198556042089,1.45180522355861,3.07005278867097,0.0347382490416705,NA,0.331780386689305,NA,NA,NA,NA,NA,NA,NA,6,-144.321972896912,301.936253486132,2.33214819270142,0.0493305311745129
"38",1.24527485329842,1.51085516964344,3.06348836595288,-0.0640491632100412,NA,0.45612384343195,NA,NA,0.253128489216207,NA,NA,NA,NA,7,-143.315148919187,302.380297838373,2.77619254494311,0.0395087041889438
"135",1.22744793071588,1.64601515658277,3.08848770376139,NA,0.258263914993138,0.79666602678895,NA,NA,NA,NA,1.38483691460202,NA,NA,7,-143.642659152883,303.035318305765,3.43121301233487,0.0284745519156918
"14",1.27625048548861,1.40010019234099,3.02749515920239,-0.0470883774984273,NA,0.368534892154425,0.227562327651432,NA,NA,NA,NA,NA,NA,7,-143.741267078897,303.232534157794,3.62842886436408,0.0258007315747193
"15",1.26515008349585,1.40972281274991,3.02881448691914,NA,0.0332585841772538,0.3755469094284,0.180948361654435,NA,NA,NA,NA,NA,NA,7,-143.751785777332,303.253571554664,3.64946626123378,0.025530763803837
