"","p(Int)","lam(Int)","p(camdays)","lam(ndvi)","lam(npp)","lam(rad)","lam(water)","lam(ndvi:npp)","lam(ndvi:rad)","lam(ndvi:water)","lam(npp:rad)","lam(npp:water)","lam(rad:water)","df","logLik","AICc","delta","weight"
"284",0.651229443406156,5.26855388018588,2.96341301283494,-0.135765102348159,0.977362027666046,NA,0.174969098285457,-1.3062677779457,NA,NA,NA,-0.5655690052437,NA,9,-360.79924767937,742.501721165192,0,0.291684636535854
"348",0.649055225664467,5.29902735266545,2.96481297340556,-0.0945698489493915,0.988816828720714,NA,0.195101554882643,-1.0893988843903,NA,-0.100839647913384,NA,-0.55521123402274,NA,10,-360.343682736568,744.293922850186,1.7922016849941,0.119053427658582
"288",0.651411501347735,5.24733640705408,2.96872524284958,-0.146934679211299,0.870722947377837,-0.0666798617198966,0.170454548943382,-1.27469769155718,NA,NA,NA,-0.510799678215084,NA,10,-360.62335224307,744.853261863189,2.35154069799648,0.0900083872606746
"267",0.673051997398545,5.31317281000423,3.03288283920201,NA,1.65807713930891,NA,0.0638073937587182,NA,NA,NA,NA,-0.762156861877601,NA,7,-364.560549913565,744.87109982713,2.36937866193796,0.0892091734622083
"332",0.633336376136342,5.37197439442425,3.00087763719141,0.147103631348453,1.53814835571733,NA,0.0771897301400471,NA,NA,-0.160891446653082,NA,-0.710047448632738,NA,9,-362.508079148812,745.919384104076,3.41766293888395,0.0528174557462142
"268",0.648441380464348,5.31878279085126,3.01958926791446,0.123802586462011,1.63112928311593,NA,0.0273874693175796,NA,NA,NA,NA,-0.74370853745798,NA,8,-364.049283968463,746.384282222641,3.88256105744881,0.0418625937690477
"399",0.659391882674975,5.58020500053705,3.02201854290457,NA,1.89321772881463,0.567572598863366,0.0414316272767818,NA,NA,NA,1.86089582121359,-0.761686090452253,NA,9,-362.753844655356,746.410915117163,3.90919395197079,0.0413088280262146
"352",0.649255420550971,5.27798184496709,2.97102319693692,-0.105759839504607,0.876420494430903,-0.0688460491377967,0.191893263416812,-1.06041558672859,NA,-0.101830114176663,NA,-0.498311594393919,NA,11,-360.153967014988,746.707934029976,4.20621286478377,0.0356078733306855
"416",0.653734260437966,5.39173528830306,2.97212917148936,-0.130716290073852,1.11776973079267,0.259271696240951,0.153436855421727,-1.14019656453547,NA,NA,0.916229529243423,-0.5600718802635,NA,11,-360.246039437339,746.892078874678,4.39035770948556,0.032475772572301
"320",0.654642469379415,5.25443879346097,2.97105832704903,-0.136866873327091,0.87596934490304,-0.0508884936188098,0.165651323382856,-1.23013645050327,0.0279645978999533,NA,NA,-0.509083756076598,NA,11,-360.603285558049,747.606571116097,5.10484995090542,0.0227200599233074
