"","p(Int)","lam(Int)","p(camdays)","lam(ndvi)","lam(npp)","lam(rad)","lam(water)","lam(ndvi:npp)","lam(ndvi:rad)","lam(ndvi:water)","lam(npp:rad)","lam(npp:water)","lam(rad:water)","df","logLik","AICc","delta","weight"
"284",1.06655545156979,2.91062787759533,2.74309206315587,-0.648147246007267,1.07558459378203,NA,0.318052971179048,-2.12412115987008,NA,NA,NA,-0.780252587690329,NA,9,-208.161717483584,437.22666077362,0,0.300122975052586
"288",0.96619860087866,2.96359693143407,2.64335003220306,-0.621337506060725,1.41140222445432,0.186634215245675,0.321226936352395,-2.20879470799942,NA,NA,NA,-0.949990504559664,NA,10,-207.611055519446,438.82866841594,1.6020076423203,0.134718644164674
"267",0.990296272809563,3.05249508443778,2.74373092603153,NA,2.10243167367511,NA,-0.0380092833912786,NA,NA,NA,NA,-1.03819159065827,NA,7,-211.867464366874,439.484928733747,2.25826796012723,0.0970336986992706
"348",1.05466532795446,2.87928444769485,2.73323918745412,-0.661747168782578,1.08273396011418,NA,0.275957246247997,-2.21296716566417,NA,0.0808363219891843,NA,-0.783980865348026,NA,10,-208.045759455606,439.69807628826,2.47141551464028,0.0872244385442704
"271",0.917039651826524,3.10977517093511,2.67338365338772,NA,2.49117610929383,0.174672103416882,-0.0211492233030411,NA,NA,NA,NA,-1.22743802686931,NA,8,-211.411564350379,441.108842986471,3.88218221285121,0.0430818244245647
"320",0.98598061070496,2.99088632783024,2.65878488603678,-0.588488133604539,1.41216340864575,0.245460486783616,0.325270231391037,-2.01675123399973,0.121507064137675,NA,NA,-0.935051819043109,NA,11,-207.441315097953,441.282630195907,4.05596942228647,0.0394963236870583
"416",0.9786582744783,3.09416911578551,2.66381068768521,-0.613166813605856,1.61162155328807,0.493878496400575,0.291215107249547,-2.122332136265,NA,NA,0.882747876445457,-0.982321189875692,NA,11,-207.464191833196,441.328383666392,4.10172289277176,0.0386030334866246
"352",0.957201367997428,2.93037399187156,2.63664483742629,-0.635146511802136,1.41359185358515,0.188997482855614,0.282055205890444,-2.31027202232353,NA,0.0868913098522992,NA,-0.952753729980772,NA,11,-207.475197694973,441.350395389945,4.12373461632518,0.0381805032556151
"268",4.22315634959022,3.02357550669596,6.58023392116008,-0.147604419453911,2.28849227100468,NA,0.0123719806268651,NA,NA,NA,NA,-1.13419812527086,NA,8,-211.956272263206,442.198258812127,4.97159803850695,0.0249879394946398
"20",1.04098001119365,2.79070713823279,2.69584407434038,-0.398239974898742,-0.140588703115979,NA,NA,-2.16483611261789,NA,NA,NA,NA,NA,7,-213.340901375834,442.431802751668,5.20514197804812,0.0222339704214562
"399",0.959824560735445,3.40062744618469,2.72217196477121,NA,2.89037525671713,0.836525595715449,-0.0451813542490897,NA,NA,NA,1.85613373619502,-1.30516800693622,NA,9,-210.857151267169,442.617528340789,5.39086756716881,0.0202622292311646
"272",0.983625755587909,3.06735529255907,2.7446770976537,-0.107442563540995,2.45472740455305,0.123136746748412,0.0109424498848772,NA,NA,NA,NA,-1.21641613514186,NA,9,-211.353856148153,443.610938102757,6.38427732913669,0.0123302259586986
"384",0.979214010316115,2.954642444444,2.65449574003461,-0.596585465885337,1.41971406566456,0.266769975697827,0.265951033203936,-2.08483751510492,0.159929934843329,0.113065245981342,NA,-0.934299128779245,NA,12,-207.207607959963,443.703351513147,6.47669073952693,0.0117734493091741
"480",0.972417608284595,3.0870894570598,2.66102770174606,-0.630074424902418,1.66716681710192,0.580762988796697,0.239469970337479,-2.21961135813537,NA,0.110857850111543,1.12606894060831,-0.993413583247094,NA,12,-207.241894396853,443.771924386926,6.54526361330562,0.0113766214627306
