"","p(Int)","lam(Int)","p(camdays)","lam(ndvi)","lam(npp)","lam(rad)","lam(water)","lam(ndvi:npp)","lam(ndvi:rad)","lam(ndvi:water)","lam(npp:rad)","lam(npp:water)","lam(rad:water)","df","logLik","AICc","delta","weight"
"1",69.8559616405931,0.796826800365572,104.711910642906,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,-88.6943449094431,185.985704744259,0,0.12634712620361
"3",96.5776557942338,0.766910185112839,144.803712229285,NA,0.12552180957633,NA,NA,NA,NA,NA,NA,NA,NA,5,-88.2121343509128,187.333359610917,1.34765486665728,0.0644059265157917
"38",94.1339048681039,0.845363480162563,141.288013040174,-0.0289839325294711,NA,-0.0567293675472142,NA,NA,0.59034515068387,NA,NA,NA,NA,7,-86.0598794075199,187.86975881504,1.88405407078051,0.0492547620077829
"2",81.5214309555058,0.788262087587845,122.286406681324,0.14709008499397,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,-88.489516568106,187.888124045303,1.90241930104369,0.0488045447343789
"9",75.8241524498257,0.813286019968331,114.594889354014,NA,NA,NA,-0.11787780098435,NA,NA,NA,NA,NA,NA,5,-88.5313133931748,187.97171769544,1.98601295118112,0.0468067120848791
"5",46.157991246988,0.783055938329465,69.7699713619998,NA,NA,-0.292400182682391,NA,NA,NA,NA,NA,NA,NA,5,-88.5805096076169,188.070110124325,2.08440538006539,0.0445597238712586
"20",108.414636150984,0.7784348139538,162.983495606836,-0.180516783904922,-0.237115336711141,NA,NA,-1.96235537143108,NA,NA,NA,NA,NA,7,-86.5796597360162,188.909319472032,2.92361472777313,0.0292894014392283
"13",80.88908953843,0.80140249731501,122.064366132556,NA,NA,-0.320233035835788,-0.191885367248896,NA,NA,NA,NA,NA,NA,6,-87.8198470313872,188.932001755082,2.94629701082289,0.0289591027149013
"7",85.501719062206,0.769751327085656,128.701679310472,NA,0.0961500816532197,-0.265325696769783,NA,NA,NA,NA,NA,NA,NA,6,-87.8606109377072,189.013529567722,3.02782482346282,0.0278023535480817
"74",101.863280621474,0.982279775959513,152.939236557414,0.0577404951963724,NA,NA,-0.016140568968017,NA,NA,-0.623461697913671,NA,NA,NA,7,-86.6783902805655,189.106780561131,3.12107581687161,0.0265358110316321
"6",83.6097215312236,0.786769295811713,125.907173851339,0.125843177994606,NA,-0.285917714664205,NA,NA,NA,NA,NA,NA,NA,6,-87.9183633189279,189.129034330163,3.14332958590413,0.0262421867180549
"11",87.0750737928411,0.785392144444818,131.112471938447,NA,0.217614608576341,NA,-0.28262349493333,NA,NA,NA,NA,NA,NA,6,-87.9461651304348,189.184637953177,3.19893320891794,0.0255226548793581
"10",105.887307310665,0.816386030538812,159.295677016441,0.203139257032485,NA,NA,-0.181782948017453,NA,NA,NA,NA,NA,NA,6,-88.0586710440719,189.409649780452,3.42394503619224,0.0228068418195748
"525",147.226805993167,0.902962832893787,221.475162473783,NA,NA,-0.0542074316775393,0.0289037475655309,NA,NA,NA,NA,NA,0.57124962656276,7,-86.9484925412896,189.646985082579,3.66128033831995,0.0202548226284071
"4",89.7701712978139,0.781604400582282,134.880502138932,0.132034096955305,0.130144058116247,NA,NA,NA,NA,NA,NA,NA,NA,6,-88.1880131415796,189.668333975467,3.68262923120759,0.0200397634698175
"24",173.999033494271,0.758150839230349,261.401488555893,-0.196898817910281,-0.275991710652358,-0.284183375246197,NA,-1.93418920065265,NA,NA,NA,NA,NA,8,-85.7405612645825,189.766836814879,3.78113207061989,0.0190766877613633
