"","p(Int)","lam(Int)","p(camdays)","lam(ndvi)","lam(npp)","lam(rad)","lam(water)","lam(ndvi:npp)","lam(ndvi:rad)","lam(ndvi:water)","lam(npp:rad)","lam(npp:water)","lam(rad:water)","df","logLik","AICc","delta","weight"
"9",5.58263488651665,1.95909590157889,6.90365467596681,NA,NA,NA,-0.191128202218552,NA,NA,NA,NA,NA,NA,5,-189.633477354403,390.176045617898,0,0.126257245387902
"28",5.18414177985501,1.89767261369879,6.92619095864307,0.678916173525813,0.494635293960252,NA,-0.658096696855708,1.53385831338175,NA,NA,NA,NA,NA,8,-186.22422886583,390.734172017373,0.558126399475668,0.0955126076434465
"2",5.48561207870498,1.94526813392501,6.62043869857646,0.105201149490985,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,-190.075042495237,391.059175899565,0.88313028166732,0.0811870957242293
"284",5.14392947225207,1.70759683339573,6.90091735686502,0.715307702274159,-0.534961005837841,NA,-0.612581490032718,1.32427479070953,NA,NA,NA,0.490885038782168,NA,9,-185.197150016038,391.297525838528,1.12148022063076,0.0720659264641859
"268",5.2266371378733,1.72200547415824,6.76829219838046,0.385986313903593,-1.13055791541021,NA,-0.402009372173781,NA,NA,NA,NA,0.629214266147337,NA,8,-186.806277252127,391.898268789969,1.72222317207093,0.0533679228447214
"11",5.58781486307432,1.95630231478979,6.91053772362553,NA,0.0749164983468103,NA,-0.226890995669257,NA,NA,NA,NA,NA,NA,6,-189.508761446611,392.30983058553,2.13378496763266,0.0434420980409739
"288",5.09361761270887,1.61296437416246,6.93440330144274,0.699480840695987,-1.0496931044056,-0.239369046345289,-0.611691560317657,1.39224910451245,NA,NA,NA,0.74592661279675,NA,10,-184.49620918371,392.598975744468,2.4229301265708,0.0375944484705262
"12",5.31990441145405,1.95915098888089,6.69161456693178,0.238942513282109,0.10222972210245,NA,-0.34952099097169,NA,NA,NA,NA,NA,NA,7,-188.597691261809,392.945382523618,2.76933690572014,0.0316156737654854
"32",5.17808838313964,1.89922685120128,6.93387853562136,0.672838942356749,0.496836878631604,-0.0351101851888165,-0.662697475662544,1.55400170923927,NA,NA,NA,NA,NA,9,-186.203699545048,393.310624896548,3.13457927865051,0.0263385018255022
"267",5.61259039364623,1.80958028392919,7.00208988384915,NA,-0.664151902470562,NA,-0.216626847449493,NA,NA,NA,NA,0.372801443394767,NA,7,-188.81730725905,393.3846145181,3.20856890020229,0.0253819173621996
"272",5.18558707466019,1.64905456876513,6.80758245738406,0.342289609567868,-1.56074285502177,-0.217818474302696,-0.405990334760571,NA,NA,NA,NA,0.836153185143446,NA,9,-186.26681013794,393.436846082331,3.26080046443298,0.0247276295445351
"4",5.48566709540756,1.94578885936211,6.62346805609958,0.105601370764218,-0.00663436841167299,NA,NA,NA,NA,NA,NA,NA,NA,6,-190.07386416756,393.440036027428,3.26399040953066,0.0246882210902694
